cell,n_old,n_removed_singleton,n_removed_mi,n_new,n_unmatched,n_vars_diffing,n_desc_wrong,vars_only_old,unexpected_new,verdict
chn_bal,56852,0,0,56852,0,0,0,,,PASS
chn_bal_2waves,56852,0,0,56852,0,0,0,,,PASS
chn_bal_3waves,56852,0,0,56852,0,0,0,,,PASS
chn_hukou_rural_first_bal,42404,0,0,42404,0,0,0,,,PASS
chn_hukou_rural_first_unb,80742,0,0,80742,0,0,0,,,PASS
chn_hukou_rural_first_unb_income,25757,0,129,25628,0,0,0,,,PASS
chn_hukou_rural_only_bal,39568,0,0,39568,0,0,0,,,PASS
chn_hukou_rural_only_unb,75748,0,0,75748,0,0,0,,,PASS
chn_hukou_rural_only_unb_income,23481,0,119,23362,0,0,0,,,PASS
chn_hukou_urban_first_bal,14364,0,0,14364,0,0,0,,,PASS
chn_hukou_urban_first_unb,28264,0,0,28264,0,0,0,,,PASS
chn_hukou_urban_first_unb_income,15568,1,52,15515,0,0,0,,,PASS
chn_hukou_urban_only_bal,13336,0,0,13336,0,0,0,,,PASS
chn_hukou_urban_only_unb,26155,0,0,26155,0,0,0,,,PASS
chn_hukou_urban_only_unb_income,14554,1,48,14505,0,0,0,,,PASS
chn_unb,109535,0,0,109535,0,0,0,,,PASS
chn_unb_2waves,109535,0,0,109535,0,0,0,,,PASS
chn_unb_3waves,109535,0,0,109535,0,0,0,,,PASS
chn_unb_income,41406,1,182,41223,0,0,0,,,PASS
idn_bal,16275,0,0,16275,0,0,0,,,PASS
idn_bal_2waves,16275,0,0,16275,0,0,0,,,PASS
idn_bal_3waves,16275,0,0,16275,0,0,0,,,PASS
idn_unb,93038,1,588,92449,0,0,0,,,PASS
idn_unb_2waves,93038,1,588,92449,0,0,0,,,PASS
idn_unb_3waves,93038,1,588,92449,0,0,0,,,PASS
idn_unb_income,58047,0,1015,57032,0,0,0,,,PASS
idn_unb_nonag,69685,0,238,69447,0,0,0,,,PASS
tza_bal,23526,0,0,23526,0,0,0,,,PASS
tza_bal_2waves,23526,0,0,23526,0,0,0,,,PASS
tza_bal_3waves,23526,0,0,23526,0,0,0,,,PASS
tza_unb,29864,2,0,29862,0,0,0,,,PASS
tza_unb_2waves,29864,2,0,29862,0,0,0,,,PASS
tza_unb_3waves,29864,2,0,29862,0,0,0,,,PASS
tza_unb_income,9339,0,0,9339,0,0,0,,,PASS
