estname,suffix,n_scalar_diff,n_string_diff,max_b_absdiff,verdict
grc_IDN_cuu_ct,,0,0,0,PASS
grc_IDN_cuu_ct,_n,0,0,0,PASS
grc_IDN_cuu_ct,_g,0,0,0,PASS
grc_IDN_cuu_ct,_a,0,0,0,PASS
grc_IDN_cuu_c1,,0,0,0,PASS
grc_IDN_cuu_c1,_n,0,0,0,PASS
grc_IDN_cuu_c1,_g,0,0,0,PASS
grc_IDN_cuu_c1,_a,0,0,0,PASS
grc_IDN_cuu_c2,,0,0,0,PASS
grc_IDN_cuu_c2,_n,0,0,0,PASS
grc_IDN_cuu_c2,_g,0,0,0,PASS
grc_IDN_cuu_c2,_a,0,0,0,PASS
grc_IDN_cuu_ca,,0,0,0,PASS
grc_IDN_cuu_ca,_n,0,0,0,PASS
grc_IDN_cuu_ca,_g,0,0,0,PASS
grc_IDN_cuu_ca,_a,0,0,0,PASS
grc_TZA_cuu_ct,,0,0,0,PASS
grc_TZA_cuu_ct,_n,0,0,0,PASS
grc_TZA_cuu_ct,_g,0,0,0,PASS
grc_TZA_cuu_ct,_a,0,0,0,PASS
grc_TZA_cuu_c1,,0,0,0,PASS
grc_TZA_cuu_c1,_n,0,0,0,PASS
grc_TZA_cuu_c1,_g,0,0,0,PASS
grc_TZA_cuu_c1,_a,0,0,0,PASS
grc_TZA_cuu_c2,,0,0,0,PASS
grc_TZA_cuu_c2,_n,0,0,0,PASS
grc_TZA_cuu_c2,_g,0,0,0,PASS
grc_TZA_cuu_c2,_a,0,0,0,PASS
grc_TZA_cuu_ca,,0,0,0,PASS
grc_TZA_cuu_ca,_n,0,0,0,PASS
grc_TZA_cuu_ca,_g,0,0,0,PASS
grc_TZA_cuu_ca,_a,0,0,0,PASS
grc_CHN_cuu_ct,,0,0,0,PASS
grc_CHN_cuu_ct,_n,0,0,0,PASS
grc_CHN_cuu_ct,_g,0,0,0,PASS
grc_CHN_cuu_ct,_a,0,0,0,PASS
grc_CHN_cuu_c1,,0,0,0,PASS
grc_CHN_cuu_c1,_n,0,0,0,PASS
grc_CHN_cuu_c1,_g,0,0,0,PASS
grc_CHN_cuu_c1,_a,0,0,0,PASS
grc_CHN_cuu_c2,,0,0,0,PASS
grc_CHN_cuu_c2,_n,0,0,0,PASS
grc_CHN_cuu_c2,_g,0,0,0,PASS
grc_CHN_cuu_c2,_a,0,0,0,PASS
grc_CHN_cuu_ca,,0,0,0,PASS
grc_CHN_cuu_ca,_n,0,0,0,PASS
grc_CHN_cuu_ca,_g,0,0,0,PASS
grc_CHN_cuu_ca,_a,0,0,0,PASS
grc_CHN_rf_cuu_ct,,0,0,0,PASS
grc_CHN_rf_cuu_ct,_n,0,0,0,PASS
grc_CHN_rf_cuu_ct,_g,0,0,0,PASS
grc_CHN_rf_cuu_ct,_a,0,0,0,PASS
grc_CHN_rf_cuu_c1,,0,0,0,PASS
grc_CHN_rf_cuu_c1,_n,0,0,0,PASS
grc_CHN_rf_cuu_c1,_g,0,0,0,PASS
grc_CHN_rf_cuu_c1,_a,0,0,0,PASS
grc_CHN_rf_cuu_c2,,0,0,0,PASS
grc_CHN_rf_cuu_c2,_n,0,0,0,PASS
grc_CHN_rf_cuu_c2,_g,0,0,0,PASS
grc_CHN_rf_cuu_c2,_a,0,0,0,PASS
grc_CHN_rf_cuu_ca,,0,0,0,PASS
grc_CHN_rf_cuu_ca,_n,0,0,0,PASS
grc_CHN_rf_cuu_ca,_g,0,0,0,PASS
grc_CHN_rf_cuu_ca,_a,0,0,0,PASS
grc_CHN_uf_cuu_ct,,0,0,0,PASS
grc_CHN_uf_cuu_ct,_n,0,0,0,PASS
grc_CHN_uf_cuu_ct,_g,0,0,0,PASS
grc_CHN_uf_cuu_ct,_a,0,0,0,PASS
grc_CHN_uf_cuu_c1,,0,0,0,PASS
grc_CHN_uf_cuu_c1,_n,0,0,0,PASS
grc_CHN_uf_cuu_c1,_g,0,0,0,PASS
grc_CHN_uf_cuu_c1,_a,0,0,0,PASS
grc_CHN_uf_cuu_c2,,0,0,0,PASS
grc_CHN_uf_cuu_c2,_n,0,0,0,PASS
grc_CHN_uf_cuu_c2,_g,0,0,0,PASS
grc_CHN_uf_cuu_c2,_a,0,0,0,PASS
grc_CHN_uf_cuu_ca,,0,0,0,PASS
grc_CHN_uf_cuu_ca,_n,0,0,0,PASS
grc_CHN_uf_cuu_ca,_g,0,0,0,PASS
grc_CHN_uf_cuu_ca,_a,0,0,0,PASS
