index | b_base                   | b_new                    | equal
    1 |   9.3502207086441587e+00 |   9.3502207086441587e+00 | 1
    2 |   9.4464053766328320e+00 |   9.4464053766328320e+00 | 1
    3 |   9.6190054820658677e+00 |   9.6190054820658677e+00 | 1
    4 |   9.5818159132609608e+00 |   9.5818159132609608e+00 | 1
    5 |   9.4435018646700417e+00 |   9.4435018646700417e+00 | 1
    6 |   9.1212401250625454e+00 |   9.1212401250625454e+00 | 1
    7 |   9.9082742362563341e+00 |   9.9082742362563341e+00 | 1
    8 |   9.2880351087945936e+00 |   9.2880351087945936e+00 | 1
    9 |   9.4341881067521634e+00 |   9.4341881067521634e+00 | 1
   10 |   9.7053598624570583e+00 |   9.7053598624570583e+00 | 1
   11 |   1.0096497658851970e+01 |   1.0096497658851970e+01 | 1
   12 |   9.8643145419338332e+00 |   9.8643145419338332e+00 | 1
   13 |   9.4917612804429847e+00 |   9.4917612804429847e+00 | 1
   14 |   9.6195064227562008e-02 |   9.6195064227562008e-02 | 1
   15 |  -9.9472669480292319e-02 |  -9.9472669480292319e-02 | 1
   16 |   9.7707953978180857e+00 |   9.7707953978180857e+00 | 1
   17 |   2.9664396765113610e-01 |   2.9664396765113610e-01 | 1
   18 |   5.3666141657353472e-01 |   5.3666141657353472e-01 | 1
   19 |   7.4909535249832282e-01 |   7.4909535249832282e-01 | 1
   20 |   3.3445950098711240e-03 |   3.3445950098711240e-03 | 1
   21 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
