row,col | V_base                   | V_new                    | equal
  1,  1 |   4.4676191485998150e-04 |   4.4676191485998150e-04 | 1
  1,  2 |   3.5357079268296386e-04 |   3.5357079268296386e-04 | 1
  1,  3 |   3.5233631106890856e-04 |   3.5233631106890856e-04 | 1
  1,  4 |   5.4135377288177708e-04 |   5.4135377288177708e-04 | 1
  1,  5 |   8.9668127783085888e-04 |   8.9668127783085888e-04 | 1
  1,  6 |   2.6285534969666712e-04 |   2.6285534969666712e-04 | 1
  1,  7 |   5.7390272906206055e-04 |   5.7390272906206055e-04 | 1
  1,  8 |   4.5616828028217352e-04 |   4.5616828028217352e-04 | 1
  1,  9 |   2.8467164750300956e-04 |   2.8467164750300956e-04 | 1
  1, 10 |  -1.1356459699101036e-04 |  -1.1356459699101036e-04 | 1
  1, 11 |   1.3580966718000685e-04 |   1.3580966718000685e-04 | 1
  1, 12 |   4.1587866123583015e-04 |   4.1587866123583015e-04 | 1
  2,  1 |   3.5357079268296386e-04 |   3.5357079268296386e-04 | 1
  2,  2 |   5.8381437338764718e-04 |   5.8381437338764718e-04 | 1
  2,  3 |   5.0398476033324132e-04 |   5.0398476033324132e-04 | 1
  2,  4 |   2.1305297524974802e-04 |   2.1305297524974802e-04 | 1
  2,  5 |  -2.0454414768497650e-04 |  -2.0454414768497650e-04 | 1
  2,  6 |   7.7239288896168768e-04 |   7.7239288896168768e-04 | 1
  2,  7 |   2.0853446950448127e-04 |   2.0853446950448127e-04 | 1
  2,  8 |   3.3262449429116291e-04 |   3.3262449429116291e-04 | 1
  2,  9 |   6.5400257499669716e-04 |   6.5400257499669716e-04 | 1
  2, 10 |   1.2099379718426306e-03 |   1.2099379718426306e-03 | 1
  2, 11 |   9.2798198905826653e-04 |   9.2798198905826653e-04 | 1
  2, 12 |   4.8293581961758754e-04 |   4.8293581961758754e-04 | 1
  3,  1 |   3.5233631106890856e-04 |   3.5233631106890856e-04 | 1
  3,  2 |   5.0398476033324132e-04 |   5.0398476033324132e-04 | 1
  3,  3 |   5.4259973775046136e-04 |   5.4259973775046136e-04 | 1
  3,  4 |   1.9630275486790303e-04 |   1.9630275486790303e-04 | 1
  3,  5 |  -2.6782479867300718e-04 |  -2.6782479867300718e-04 | 1
  3,  6 |   8.0685287534803282e-04 |   8.0685287534803282e-04 | 1
