index | b_base                   | b_new                    | equal
    1 |   9.3519387471940494e+00 |   9.3519387471940494e+00 | 1
    2 |   9.4481429908206902e+00 |   9.4481429908206902e+00 | 1
    3 |   9.6205601203699747e+00 |   9.6205601203699747e+00 | 1
    4 |   9.5835792761564615e+00 |   9.5835792761564615e+00 | 1
    5 |   9.4451477086920104e+00 |   9.4451477086920104e+00 | 1
    6 |   9.1247909430153236e+00 |   9.1247909430153236e+00 | 1
    7 |   9.9080530624225354e+00 |   9.9080530624225354e+00 | 1
    8 |   9.2897960217541424e+00 |   9.2897960217541424e+00 | 1
    9 |   9.4360581517143984e+00 |   9.4360581517143984e+00 | 1
   10 |   9.7066616233684240e+00 |   9.7066616233684240e+00 | 1
   11 |   1.0098002329552768e+01 |   1.0098002329552768e+01 | 1
   12 |   9.8656760985670946e+00 |   9.8656760985670946e+00 | 1
   13 |   9.4934407703425201e+00 |   9.4934407703425201e+00 | 1
   14 |   9.6190512374252454e-02 |   9.6190512374252454e-02 | 1
   15 |  -9.9406677921755407e-02 |  -9.9406677921755407e-02 | 1
   16 |   9.7725389633450135e+00 |   9.7725389633450135e+00 | 1
   17 |   2.9664420568935662e-01 |   2.9664420568935662e-01 | 1
   18 |   5.3666184269274331e-01 |   5.3666184269274331e-01 | 1
   19 |   7.4909591045079682e-01 |   7.4909591045079682e-01 | 1
   20 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
