index | b_base                   | b_new                    | equal
    1 |   9.5566206429635638e+00 |   9.5566206429635638e+00 | 1
    2 |   9.6151531301207918e+00 |   9.6151531301207918e+00 | 1
    3 |   9.7424521282772112e+00 |   9.7424521282772112e+00 | 1
    4 |   9.7416291961670698e+00 |   9.7416291961670698e+00 | 1
    5 |   9.4976540102494589e+00 |   9.4976540102494589e+00 | 1
    6 |   9.1368924090663750e+00 |   9.1368924090663750e+00 | 1
    7 |   9.9474237398844707e+00 |   9.9474237398844707e+00 | 1
    8 |   9.4620852464538778e+00 |   9.4620852464538778e+00 | 1
    9 |   9.5910300969526379e+00 |   9.5910300969526379e+00 | 1
   10 |   9.8587874133037321e+00 |   9.8587874133037321e+00 | 1
   11 |   1.0385508529307719e+01 |   1.0385508529307719e+01 | 1
   12 |   1.0058746171615610e+01 |   1.0058746171615610e+01 | 1
   13 |   9.6903132077152812e+00 |   9.6903132077152812e+00 | 1
   14 |   9.4644437908449591e-02 |   9.4644437908449591e-02 | 1
   15 |  -1.6090263611048194e-01 |  -1.6090263611048194e-01 | 1
   16 |   1.0008053296421428e+01 |   1.0008053296421428e+01 | 1
   17 |   3.0008506679712255e-01 |   3.0008506679712255e-01 | 1
   18 |   5.6330523764316043e-01 |   5.6330523764316043e-01 | 1
   19 |   7.9811128419813115e-01 |   7.9811128419813115e-01 | 1
   20 |   1.9210804980171370e-03 |   1.9210804980171370e-03 | 1
   21 |  -8.3840966718614688e-05 |  -8.3840966718614688e-05 | 1
   22 |   9.5639674085046416e+00 |   9.5639674085046416e+00 | 1
   23 |   4.0167656631705961e-01 |   4.0167656631705961e-01 | 1
