index | b_base                   | b_new                    | equal
    1 |   9.5059647127934507e-02 |   9.5059647127934507e-02 | 1
    2 |   6.8776781555463226e-02 |   6.8776781555463226e-02 | 1
    3 |   7.2384239231157943e-02 |   7.2384239231157943e-02 | 1
    4 |   1.3054192079917498e-01 |   1.3054192079917498e-01 | 1
    5 |   1.6325648115870306e-01 |   1.6325648115870306e-01 | 1
    6 |  -9.2683485464781223e-04 |  -9.2683485464781223e-04 | 1
    7 |   1.1887050646525421e-01 |   1.1887050646525421e-01 | 1
    8 |   9.2113934174721954e-02 |   9.2113934174721954e-02 | 1
    9 |   4.9396020322112981e-02 |   4.9396020322112981e-02 | 1
   10 |  -5.9029603328940819e-02 |  -5.9029603328940819e-02 | 1
   11 |   2.2425026877668869e-02 |   2.2425026877668869e-02 | 1
   12 |   8.2089066159789947e-02 |   8.2089066159789947e-02 | 1
