index | b_base                   | b_new                    | equal
    1 |   9.3426022545845004e+00 |   9.3426022545845004e+00 | 1
    2 |   9.4425928814061404e+00 |   9.4425928814061404e+00 | 1
    3 |   9.6135091133424933e+00 |   9.6135091133424933e+00 | 1
    4 |   9.5816769243480007e+00 |   9.5816769243480007e+00 | 1
    5 |   9.4415507824628033e+00 |   9.4415507824628033e+00 | 1
    6 |   9.1346760844545472e+00 |   9.1346760844545472e+00 | 1
    7 |   9.9036247066822121e+00 |   9.9036247066822121e+00 | 1
    8 |   9.2930377706703098e+00 |   9.2930377706703098e+00 | 1
    9 |   9.4317197119086202e+00 |   9.4317197119086202e+00 | 1
   10 |   9.7032124874949801e+00 |   9.7032124874949801e+00 | 1
   11 |   1.0070638407148888e+01 |   1.0070638407148888e+01 | 1
   12 |   9.8590010608574534e+00 |   9.8590010608574534e+00 | 1
   13 |   9.4927573614233669e+00 |   9.4927573614233669e+00 | 1
   14 |   8.2524935143719461e-02 |   8.2524935143719461e-02 | 1
   15 |  -7.2479777737488982e-02 |  -7.2479777737488982e-02 | 1
   16 |   9.7683523501381746e+00 |   9.7683523501381746e+00 | 1
   17 |   2.9952172351931927e-01 |   2.9952172351931927e-01 | 1
   18 |   5.4674831055858275e-01 |   5.4674831055858275e-01 | 1
   19 |   7.7295326473620429e-01 |   7.7295326473620429e-01 | 1
   20 |   9.3892863421991741e+00 |   9.3892863421991741e+00 | 1
   21 |   4.1254620429567451e-01 |   4.1254620429567451e-01 | 1
