index | b_base                   | b_new                    | equal
    1 |   9.5879905871973214e+00 |   9.5879905871973214e+00 | 1
    2 |   9.6407961915022682e+00 |   9.6407961915022682e+00 | 1
    3 |   9.7269560334842655e+00 |   9.7269560334842655e+00 | 1
    4 |   9.7501196196900661e+00 |   9.7501196196900661e+00 | 1
    5 |   9.4484367711346007e+00 |   9.4484367711346007e+00 | 1
    6 |   9.1987058152481307e+00 |   9.1987058152481307e+00 | 1
    7 |   9.9057040851178844e+00 |   9.9057040851178844e+00 | 1
    8 |   9.5120956277672200e+00 |   9.5120956277672200e+00 | 1
    9 |   9.6279324410847291e+00 |   9.6279324410847291e+00 | 1
   10 |   9.8765297263665062e+00 |   9.8765297263665062e+00 | 1
   11 |   1.0395926270587033e+01 |   1.0395926270587033e+01 | 1
   12 |   9.9424180515771798e+00 |   9.9424180515771798e+00 | 1
   13 |   9.6714927491688130e+00 |   9.6714927491688130e+00 | 1
   14 |   1.0271589963257802e-01 |   1.0271589963257802e-01 | 1
   15 |  -3.7195916220702764e-02 |  -3.7195916220702764e-02 | 1
   16 |   9.7610389486652718e+00 |   9.7610389486652718e+00 | 1
   17 |   3.0636013077858681e-01 |   3.0636013077858681e-01 | 1
   18 |   5.6386760351065635e-01 |   5.6386760351065635e-01 | 1
   19 |   8.0088914188372395e-01 |   8.0088914188372395e-01 | 1
   20 |   1.3274342677451966e-02 |   1.3274342677451966e-02 | 1
   21 |  -1.0910735020169620e-04 |  -1.0910735020169620e-04 | 1
   22 |   9.5831691911717680e+00 |   9.5831691911717680e+00 | 1
   23 |   2.1781228282968537e-01 |   2.1781228282968537e-01 | 1
