index | b_base                   | b_new                    | equal
    1 |   9.3405342155079580e+00 |   9.3405342155079580e+00 | 1
    2 |   9.3647038011108190e+00 |   9.3647038011108190e+00 | 1
    3 |   9.4497014997499988e+00 |   9.4497014997499988e+00 | 1
    4 |   9.4744238251066317e+00 |   9.4744238251066317e+00 | 1
    5 |   9.1534413689018255e+00 |   9.1534413689018255e+00 | 1
    6 |   8.9973548326061596e+00 |   8.9973548326061596e+00 | 1
    7 |   9.6794867981215376e+00 |   9.6794867981215376e+00 | 1
    8 |   9.2522276433407278e+00 |   9.2522276433407278e+00 | 1
    9 |   9.3631092484414822e+00 |   9.3631092484414822e+00 | 1
   10 |   9.5860167197546531e+00 |   9.5860167197546531e+00 | 1
   11 |   1.0126830353460267e+01 |   1.0126830353460267e+01 | 1
   12 |   9.6784804931181068e+00 |   9.6784804931181068e+00 | 1
   13 |   9.3854069350271434e+00 |   9.3854069350271434e+00 | 1
   14 |   1.0462937126934743e-01 |   1.0462937126934743e-01 | 1
   15 |  -3.8870805545387521e-02 |  -3.8870805545387521e-02 | 1
   16 |   9.4763939138269002e+00 |   9.4763939138269002e+00 | 1
   17 |   2.9663023666153854e-01 |   2.9663023666153854e-01 | 1
   18 |   5.4630433766623221e-01 |   5.4630433766623221e-01 | 1
   19 |   7.7511835301062637e-01 |   7.7511835301062637e-01 | 1
   20 |   5.8290283601083175e-02 |   5.8290283601083175e-02 | 1
   21 |  -6.8960324313972681e-05 |  -6.8960324313972681e-05 | 1
   22 |   1.8461398458456027e-02 |   1.8461398458456027e-02 | 1
   23 |   6.5286173662802141e-04 |   6.5286173662802141e-04 | 1
   24 |   9.3245072082246114e+00 |   9.3245072082246114e+00 | 1
   25 |   1.8337858140964877e-01 |   1.8337858140964877e-01 | 1
