index | b_base                   | b_new                    | equal
    1 |   8.7266278485497603e-02 |   8.7266278485497603e-02 | 1
    2 |   1.0536644062816569e-01 |   1.0536644062816569e-01 | 1
    3 |   1.0293115593389532e-01 |   1.0293115593389532e-01 | 1
    4 |   8.1312076427768845e-02 |   8.1312076427768845e-02 | 1
    5 |   5.6232137670324360e-02 |   5.6232137670324360e-02 | 1
    6 |   1.3786952480868672e-01 |   1.3786952480868672e-01 | 1
    7 |   7.1303903222607795e-02 |   7.1303903222607795e-02 | 1
    8 |   8.7115166702896527e-02 |   8.7115166702896527e-02 | 1
    9 |   1.1882885830302085e-01 |   1.1882885830302085e-01 | 1
   10 |   1.4760614497994198e-01 |   1.4760614497994198e-01 | 1
   11 |   1.1951844940797232e-01 |   1.1951844940797232e-01 | 1
   12 |   8.8789618432167511e-02 |   8.8789618432167511e-02 | 1
