index | b_base                   | b_new                    | equal
    1 |   9.8632986489605692e+00 |   9.8632986489605692e+00 | 1
    2 |   9.8316610079984628e+00 |   9.8316610079984628e+00 | 1
    3 |   1.0448510984846211e+01 |   1.0448510984846211e+01 | 1
    4 |   9.7474898892034325e+00 |   9.7474898892034325e+00 | 1
    5 |   1.1603409287118055e+01 |   1.1603409287118055e+01 | 1
    6 |   9.4490777415634124e+00 |   9.4490777415634124e+00 | 1
    7 |   1.0484052625770561e+01 |   1.0484052625770561e+01 | 1
    8 |   1.0047830724176562e+01 |   1.0047830724176562e+01 | 1
    9 |   9.9482507914094356e+00 |   9.9482507914094356e+00 | 1
   10 |   1.7001489884743962e-01 |   1.7001489884743962e-01 | 1
   11 |  -8.2566486725365562e-01 |  -8.2566486725365562e-01 | 1
   12 |   1.0796880082465176e+01 |   1.0796880082465176e+01 | 1
   13 |   2.9224374130881597e-01 |   2.9224374130881597e-01 | 1
   14 |   6.0055553930410865e-01 |   6.0055553930410865e-01 | 1
   15 |   8.5046359001598659e-01 |   8.5046359001598659e-01 | 1
   16 |   1.1543544888785021e-02 |   1.1543544888785021e-02 | 1
   17 |  -4.2956112398779452e-05 |  -4.2956112398779452e-05 | 1
   18 |   9.8228527946288011e+00 |   9.8228527946288011e+00 | 1
   19 |   1.6338460346175343e-01 |   1.6338460346175343e-01 | 1
