index | b_base                   | b_new                    | equal
    1 |   9.7406182080205941e+00 |   9.7406182080205941e+00 | 1
    2 |   9.7453222973689879e+00 |   9.7453222973689879e+00 | 1
    3 |   1.0371175828075097e+01 |   1.0371175828075097e+01 | 1
    4 |   9.6638024524906463e+00 |   9.6638024524906463e+00 | 1
    5 |   1.1597206264825756e+01 |   1.1597206264825756e+01 | 1
    6 |   9.3537685429795836e+00 |   9.3537685429795836e+00 | 1
    7 |   1.0408460533429748e+01 |   1.0408460533429748e+01 | 1
    8 |   9.9853380554566833e+00 |   9.9853380554566833e+00 | 1
    9 |   9.8622238607191228e+00 |   9.8622238607191228e+00 | 1
   10 |   1.6795227726211562e-01 |   1.6795227726211562e-01 | 1
   11 |  -8.0473699915024866e-01 |  -8.0473699915024866e-01 | 1
   12 |   1.0500331144235465e+01 |   1.0500331144235465e+01 | 1
   13 |   2.9069547286835079e-01 |   2.9069547286835079e-01 | 1
   14 |   5.9143095407741442e-01 |   5.9143095407741442e-01 | 1
   15 |   8.3648888525098086e-01 |   8.3648888525098086e-01 | 1
   16 |   9.7319911733642694e+00 |   9.7319911733642694e+00 | 1
   17 |   1.6469381977721387e-01 |   1.6469381977721387e-01 | 1
