index | b_base                   | b_new                    | equal
    1 |   1.0806365441473945e+01 |   1.0806365441473945e+01 | 1
    2 |   1.0855014050674685e+01 |   1.0855014050674685e+01 | 1
    3 |   1.1077602616069569e+01 |   1.1077602616069569e+01 | 1
    4 |   1.0852962716516146e+01 |   1.0852962716516146e+01 | 1
    5 |   1.0973737593297459e+01 |   1.0973737593297459e+01 | 1
    6 |   1.0843770558720051e+01 |   1.0843770558720051e+01 | 1
    7 |   1.0942783608173382e+01 |   1.0942783608173382e+01 | 1
    8 |   1.0962868823768941e+01 |   1.0962868823768941e+01 | 1
    9 |   1.0803714599175535e+01 |   1.0803714599175535e+01 | 1
   10 |   1.0930567615599760e+01 |   1.0930567615599760e+01 | 1
   11 |   1.1287806682250574e+01 |   1.1287806682250574e+01 | 1
   12 |   1.1090191100071451e+01 |   1.1090191100071451e+01 | 1
   13 |   1.0517842661200737e+01 |   1.0517842661200737e+01 | 1
   14 |   1.0675060956782676e+01 |   1.0675060956782676e+01 | 1
   15 |   1.0934711749246992e+01 |   1.0934711749246992e+01 | 1
   16 |   1.1035935679162755e+01 |   1.1035935679162755e+01 | 1
   17 |   1.0855804676743322e+01 |   1.0855804676743322e+01 | 1
   18 |   1.0972385021617965e+01 |   1.0972385021617965e+01 | 1
   19 |   1.0833558195293337e+01 |   1.0833558195293337e+01 | 1
   20 |   1.1010968939699744e+01 |   1.1010968939699744e+01 | 1
   21 |   1.0799670984735329e+01 |   1.0799670984735329e+01 | 1
   22 |   1.1278664768363377e+01 |   1.1278664768363377e+01 | 1
   23 |   1.0883439922072748e+01 |   1.0883439922072748e+01 | 1
   24 |   1.1077623651765954e+01 |   1.1077623651765954e+01 | 1
   25 |   1.1032596513379751e+01 |   1.1032596513379751e+01 | 1
   26 |   1.0931857182058662e+01 |   1.0931857182058662e+01 | 1
   27 |   1.1627999585125165e+01 |   1.1627999585125165e+01 | 1
   28 |   1.1241660635355773e+01 |   1.1241660635355773e+01 | 1
   29 |   1.0894383847497448e+01 |   1.0894383847497448e+01 | 1
   30 |   1.1256170446640020e+01 |   1.1256170446640020e+01 | 1
   31 |   1.1333299647203319e+01 |   1.1333299647203319e+01 | 1
   32 |   3.7743175447820944e-02 |   3.7743175447820944e-02 | 1
   33 |  -2.0872551040758131e-01 |  -2.0872551040758131e-01 | 1
   34 |   1.1241902867806132e+01 |   1.1241902867806132e+01 | 1
   35 |   3.1173458329724935e-01 |   3.1173458329724935e-01 | 1
   36 |   4.5173901384722476e-01 |   4.5173901384722476e-01 | 1
   37 |   7.1961825343107955e-01 |   7.1961825343107955e-01 | 1
   38 |   1.2044535181170517e+00 |   1.2044535181170517e+00 | 1
   39 |   2.0193999244981421e-02 |   2.0193999244981421e-02 | 1
   40 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
