index | b_base                   | b_new                    | equal
    1 |   3.1166598552128413e-02 |   3.1166598552128413e-02 | 1
    2 |  -3.3322498668171899e-02 |  -3.3322498668171899e-02 | 1
    3 |   3.7043766286388974e-02 |   3.7043766286388974e-02 | 1
    4 |  -4.1686228669463553e-03 |  -4.1686228669463553e-03 | 1
    5 |   5.3441621192944294e-02 |   5.3441621192944294e-02 | 1
    6 |   8.2121390160671229e-02 |   8.2121390160671229e-02 | 1
    7 |   1.9819856261847207e-02 |   1.9819856261847207e-02 | 1
    8 |   6.7075650755282157e-02 |   6.7075650755282157e-02 | 1
    9 |   2.9205775316146699e-02 |   2.9205775316146699e-02 | 1
   10 |  -1.4567241927878047e-01 |  -1.4567241927878047e-01 | 1
   11 |  -2.4954190291535509e-02 |  -2.4954190291535509e-02 | 1
   12 |   1.0854513646460165e-01 |   1.0854513646460165e-01 | 1
   13 |   1.1697405265239200e-01 |   1.1697405265239200e-01 | 1
   14 |   3.4849449958152090e-02 |   3.4849449958152090e-02 | 1
   15 |   3.5517892871663945e-03 |   3.5517892871663945e-03 | 1
   16 |   2.1670494978368801e-02 |   2.1670494978368801e-02 | 1
   17 |  -3.5826045020609029e-04 |  -3.5826045020609029e-04 | 1
   18 |   1.9692969367886580e-02 |   1.9692969367886580e-02 | 1
   19 |   1.2381540840333105e-02 |   1.2381540840333105e-02 | 1
   20 |   3.0468767272761748e-02 |   3.0468767272761748e-02 | 1
   21 |  -6.9233489616249880e-02 |  -6.9233489616249880e-02 | 1
   22 |   2.0382394904641207e-02 |   2.0382394904641207e-02 | 1
   23 |  -9.6540299822308502e-03 |  -9.6540299822308502e-03 | 1
   24 |  -1.8443336310912477e-02 |  -1.8443336310912477e-02 | 1
   25 |   1.4044833876354138e-02 |   1.4044833876354138e-02 | 1
   26 |  -1.0981587165674336e-01 |  -1.0981587165674336e-01 | 1
   27 |  -4.4606165736264830e-02 |  -4.4606165736264830e-02 | 1
   28 |   3.0039692416067500e-02 |   3.0039692416067500e-02 | 1
   29 |  -4.0092594585349584e-02 |  -4.0092594585349584e-02 | 1
   30 |  -5.9078252221066566e-02 |  -5.9078252221066566e-02 | 1
