index | b_base                   | b_new                    | equal
    1 |   1.0816216547434115e+01 |   1.0816216547434115e+01 | 1
    2 |   1.0863116220438965e+01 |   1.0863116220438965e+01 | 1
    3 |   1.1089081860294220e+01 |   1.1089081860294220e+01 | 1
    4 |   1.0863184540663569e+01 |   1.0863184540663569e+01 | 1
    5 |   1.0982953796288690e+01 |   1.0982953796288690e+01 | 1
    6 |   1.0845544113329797e+01 |   1.0845544113329797e+01 | 1
    7 |   1.0951641164836468e+01 |   1.0951641164836468e+01 | 1
    8 |   1.0972820691320660e+01 |   1.0972820691320660e+01 | 1
    9 |   1.0813651277335060e+01 |   1.0813651277335060e+01 | 1
   10 |   1.0940357136765071e+01 |   1.0940357136765071e+01 | 1
   11 |   1.1311520717606108e+01 |   1.1311520717606108e+01 | 1
   12 |   1.1099206061275890e+01 |   1.1099206061275890e+01 | 1
   13 |   1.0527394032701888e+01 |   1.0527394032701888e+01 | 1
   14 |   1.0685925606671074e+01 |   1.0685925606671074e+01 | 1
   15 |   1.0942860697299345e+01 |   1.0942860697299345e+01 | 1
   16 |   1.1047155152839322e+01 |   1.1047155152839322e+01 | 1
   17 |   1.0866804525340640e+01 |   1.0866804525340640e+01 | 1
   18 |   1.0983219775580993e+01 |   1.0983219775580993e+01 | 1
   19 |   1.0842106628892363e+01 |   1.0842106628892363e+01 | 1
   20 |   1.1018626659191046e+01 |   1.1018626659191046e+01 | 1
   21 |   1.0804208411437278e+01 |   1.0804208411437278e+01 | 1
   22 |   1.1294525402524380e+01 |   1.1294525402524380e+01 | 1
   23 |   1.0895325693445301e+01 |   1.0895325693445301e+01 | 1
   24 |   1.1088953193820270e+01 |   1.1088953193820270e+01 | 1
   25 |   1.1039798885182131e+01 |   1.1039798885182131e+01 | 1
   26 |   1.0942976718515892e+01 |   1.0942976718515892e+01 | 1
   27 |   1.1638789757122014e+01 |   1.1638789757122014e+01 | 1
   28 |   1.1254362783459873e+01 |   1.1254362783459873e+01 | 1
   29 |   1.0906332523208324e+01 |   1.0906332523208324e+01 | 1
   30 |   1.1269208065630346e+01 |   1.1269208065630346e+01 | 1
   31 |   1.1343817766949222e+01 |   1.1343817766949222e+01 | 1
   32 |   3.8364389961089498e-02 |   3.8364389961089498e-02 | 1
   33 |  -2.1066498204227405e-01 |  -2.1066498204227405e-01 | 1
   34 |   1.1253446735601223e+01 |   1.1253446735601223e+01 | 1
   35 |   3.1171020636749519e-01 |   3.1171020636749519e-01 | 1
   36 |   4.5170441948334933e-01 |   4.5170441948334933e-01 | 1
   37 |   7.1960541215790985e-01 |   7.1960541215790985e-01 | 1
   38 |   1.2044096426787272e+00 |   1.2044096426787272e+00 | 1
   39 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
