index | b_base                   | b_new                    | equal
    1 |   3.8364389961089498e-02 |   3.8364389961089498e-02 | 1
    2 |  -9.2386575011888517e-03 |  -9.2386575011888517e-03 | 1
    3 |   3.8349997282200003e-02 |   3.8349997282200003e-02 | 1
    4 |   1.3118809196717391e-02 |   1.3118809196717391e-02 | 1
    5 |   4.2066217589687128e-02 |   4.2066217589687128e-02 | 1
    6 |   1.9715284139296050e-02 |   1.9715284139296050e-02 | 1
    7 |   1.5253499572840001e-02 |   1.5253499572840001e-02 | 1
    8 |   4.8784921311795688e-02 |   4.8784921311795688e-02 | 1
    9 |   2.2092433710321522e-02 |   2.2092433710321522e-02 | 1
   10 |  -5.6098735382301618e-02 |  -5.6098735382301618e-02 | 1
   11 |  -1.1371472119184683e-02 |  -1.1371472119184683e-02 | 1
   12 |   1.0908929861191360e-01 |   1.0908929861191360e-01 | 1
   13 |   7.5692247428561801e-02 |   7.5692247428561801e-02 | 1
   14 |   2.1565021175326937e-02 |   2.1565021175326937e-02 | 1
   15 |  -4.0616842811101034e-04 |  -4.0616842811101034e-04 | 1
   16 |   3.7587393275211531e-02 |   3.7587393275211531e-02 | 1
   17 |   1.3062776673880765e-02 |   1.3062776673880765e-02 | 1
   18 |   4.2790375186969778e-02 |   4.2790375186969778e-02 | 1
   19 |   5.6037861739961156e-03 |   5.6037861739961156e-03 | 1
   20 |   5.0774202486579510e-02 |   5.0774202486579510e-02 | 1
   21 |  -5.2518417635806711e-02 |  -5.2518417635806711e-02 | 1
   22 |   3.1578981908618561e-02 |   3.1578981908618561e-02 | 1
   23 |  -9.2115519807647456e-03 |  -9.2115519807647456e-03 | 1
   24 |   1.1435395657891506e-03 |   1.1435395657891506e-03 | 1
   25 |   2.1540579567826547e-02 |   2.1540579567826547e-02 | 1
   26 |  -1.2504286171491230e-01 |  -1.2504286171491230e-01 | 1
   27 |  -4.4057560211811689e-02 |  -4.4057560211811689e-02 | 1
   28 |   2.9260228314248994e-02 |   2.9260228314248994e-02 | 1
   29 |  -4.7184941313666864e-02 |  -4.7184941313666864e-02 | 1
   30 |  -6.2902592702187218e-02 |  -6.2902592702187218e-02 | 1
