index | b_base                   | b_new                    | equal
    1 |   7.7178443140012029e-02 |   7.7178443140012029e-02 | 1
    2 |   4.4204073471813821e-03 |   4.4204073471813821e-03 | 1
    3 |   7.9194022022883323e-02 |   7.9194022022883323e-02 | 1
    4 |   2.7683407383261284e-02 |   2.7683407383261284e-02 | 1
    5 |   9.3576823082057531e-02 |   9.3576823082057531e-02 | 1
    6 |   4.8625343227252246e-02 |   4.8625343227252246e-02 | 1
    7 |   4.7141456074979278e-02 |   4.7141456074979278e-02 | 1
    8 |   8.9929441299333834e-02 |   8.9929441299333834e-02 | 1
    9 |   5.1112868765669540e-02 |   5.1112868765669540e-02 | 1
   10 |  -9.1225419598272947e-02 |  -9.1225419598272947e-02 | 1
   11 |   1.0434946174953663e-03 |   1.0434946174953663e-03 | 1
   12 |   1.8630963978099563e-01 |   1.8630963978099563e-01 | 1
   13 |   1.4456476966567239e-01 |   1.4456476966567239e-01 | 1
   14 |   2.6384445974962235e-02 |   2.6384445974962235e-02 | 1
   15 |   3.2381722532031067e-02 |   3.2381722532031067e-02 | 1
   16 |   6.7086648931078324e-02 |   6.7086648931078324e-02 | 1
   17 |   2.4338272010837207e-02 |   2.4338272010837207e-02 | 1
   18 |   9.4014996438217091e-02 |   9.4014996438217091e-02 | 1
   19 |   3.2212494237457596e-02 |   3.2212494237457596e-02 | 1
   20 |   1.0144846025537495e-01 |   1.0144846025537495e-01 | 1
   21 |  -7.9076309142894333e-02 |  -7.9076309142894333e-02 | 1
   22 |   6.2208816590763105e-02 |   6.2208816590763105e-02 | 1
   23 |  -4.0186789120552069e-03 |  -4.0186789120552069e-03 | 1
   24 |   1.9661578527631389e-02 |   1.9661578527631389e-02 | 1
   25 |   4.3967477807072892e-02 |   4.3967477807072892e-02 | 1
   26 |  -1.9202371162097270e-01 |  -1.9202371162097270e-01 | 1
   27 |  -4.8533279884122218e-02 |  -4.8533279884122218e-02 | 1
   28 |   5.6641542063501471e-02 |   5.6641542063501471e-02 | 1
   29 |  -6.8603401111582654e-02 |  -6.8603401111582654e-02 | 1
   30 |  -8.0449637393591025e-02 |  -8.0449637393591025e-02 | 1
