index | b_base                   | b_new                    | equal
    1 |   6.3509662929890173e-02 |   6.3509662929890173e-02 | 1
    2 |  -4.4217669583575564e-02 |  -4.4217669583575564e-02 | 1
    3 |   7.5161202136433666e-02 |   7.5161202136433666e-02 | 1
    4 |  -1.0171031801289587e-03 |  -1.0171031801289587e-03 | 1
    5 |   1.2896689464942965e-01 |   1.2896689464942965e-01 | 1
    6 |   1.6100074576952805e-01 |   1.6100074576952805e-01 | 1
    7 |   5.3234599288492897e-02 |   5.3234599288492897e-02 | 1
    8 |   1.1547072067378353e-01 |   1.1547072067378353e-01 | 1
    9 |   6.6580121203557788e-02 |   6.6580121203557788e-02 | 1
   10 |  -3.8960835788685627e-01 |  -3.8960835788685627e-01 | 1
   11 |  -2.3464200483655134e-02 |  -2.3464200483655134e-02 | 1
   12 |   1.8000630428040071e-01 |   1.8000630428040071e-01 | 1
   13 |   2.2030133920840456e-01 |   2.2030133920840456e-01 | 1
   14 |   7.8201082117341544e-02 |   7.8201082117341544e-02 | 1
   15 |   4.0611905436316945e-02 |   4.0611905436316945e-02 | 1
   16 |   2.9230079445108054e-02 |   2.9230079445108054e-02 | 1
   17 |  -1.7575153275135369e-02 |  -1.7575153275135369e-02 | 1
   18 |   7.7689840160198850e-02 |   7.7689840160198850e-02 | 1
   19 |   4.9750461708301934e-02 |   4.9750461708301934e-02 | 1
   20 |   7.7107597046724846e-02 |   7.7107597046724846e-02 | 1
   21 |  -1.4696253392275593e-01 |  -1.4696253392275593e-01 | 1
   22 |   4.1148745972960199e-02 |   4.1148745972960199e-02 | 1
   23 |  -2.6223854739960445e-02 |  -2.6223854739960445e-02 | 1
   24 |  -2.1498214979533858e-02 |  -2.1498214979533858e-02 | 1
   25 |   2.1536238745669400e-02 |   2.1536238745669400e-02 | 1
   26 |  -1.6947292885514714e-01 |  -1.6947292885514714e-01 | 1
   27 |  -6.1973010623061195e-02 |  -6.1973010623061195e-02 | 1
   28 |   3.7212227101736148e-02 |   3.7212227101736148e-02 | 1
   29 |  -8.3644097826195460e-02 |  -8.3644097826195460e-02 | 1
   30 |  -7.7911112701243748e-02 |  -7.7911112701243748e-02 | 1
