index | b_base                   | b_new                    | equal
    1 |   1.3926622128179027e+01 |   1.3926622128179027e+01 | 1
    2 |   1.4173185600765088e+01 |   1.4173185600765088e+01 | 1
    3 |   1.3704386598768108e+01 |   1.3704386598768108e+01 | 1
    4 |   1.4241310887598374e+01 |   1.4241310887598374e+01 | 1
    5 |   1.4230561255360044e+01 |   1.4230561255360044e+01 | 1
    6 |   1.4745457592796717e+01 |   1.4745457592796717e+01 | 1
    7 |   1.4378902105217614e+01 |   1.4378902105217614e+01 | 1
    8 |   1.6539583134200911e-01 |   1.6539583134200911e-01 | 1
    9 |  -5.0065154208739748e-01 |  -5.0065154208739748e-01 | 1
   10 |   1.4982808581725681e+01 |   1.4982808581725681e+01 | 1
   11 |   1.5938813824896345e-01 |   1.5938813824896345e-01 | 1
   12 |   4.0442097219956341e-01 |   4.0442097219956341e-01 | 1
   13 |  -6.9059577652085716e-02 |  -6.9059577652085716e-02 | 1
   14 |  -4.2969110775458564e-05 |  -4.2969110775458564e-05 | 1
   15 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
