index | b_base                   | b_new                    | equal
    1 |   1.3632074945751606e+01 |   1.3632074945751606e+01 | 1
    2 |   1.3824495139431953e+01 |   1.3824495139431953e+01 | 1
    3 |   1.3028838759805259e+01 |   1.3028838759805259e+01 | 1
    4 |   1.3752723494808951e+01 |   1.3752723494808951e+01 | 1
    5 |   1.3838223398399791e+01 |   1.3838223398399791e+01 | 1
    6 |   1.4354720068819148e+01 |   1.4354720068819148e+01 | 1
    7 |   1.3872666466335852e+01 |   1.3872666466335852e+01 | 1
    8 |   1.3067585883809632e-01 |   1.3067585883809632e-01 | 1
    9 |  -7.0974339328000458e-01 |  -7.0974339328000458e-01 | 1
   10 |   1.4892182394135954e+01 |   1.4892182394135954e+01 | 1
   11 |   1.5084852997392947e-01 |   1.5084852997392947e-01 | 1
   12 |   3.9421723012505971e-01 |   3.9421723012505971e-01 | 1
   13 |   3.8086689930622161e-03 |   3.8086689930622161e-03 | 1
   14 |   2.6949174279400846e-06 |   2.6949174279400846e-06 | 1
   15 |  -1.1537208382817856e-03 |  -1.1537208382817856e-03 | 1
   16 |   4.4194210744064157e-03 |   4.4194210744064157e-03 | 1
   17 |   0.0000000000000000e+00 |   0.0000000000000000e+00 | 1
