index | b_base                   | b_new                    | equal
    1 |   1.3644031590918511e+01 |   1.3644031590918511e+01 | 1
    2 |   1.3832542824885472e+01 |   1.3832542824885472e+01 | 1
    3 |   1.3020374874108757e+01 |   1.3020374874108757e+01 | 1
    4 |   1.3762725156095891e+01 |   1.3762725156095891e+01 | 1
    5 |   1.3853893712776218e+01 |   1.3853893712776218e+01 | 1
    6 |   1.4360774943363067e+01 |   1.4360774943363067e+01 | 1
    7 |   1.3891111127972319e+01 |   1.3891111127972319e+01 | 1
    8 |   1.3434951630402128e-01 |   1.3434951630402128e-01 | 1
    9 |  -7.1897157978824799e-01 |  -7.1897157978824799e-01 | 1
   10 |   1.4940158362673381e+01 |   1.4940158362673381e+01 | 1
   11 |   1.5125991975394756e-01 |   1.5125991975394756e-01 | 1
   12 |   3.8759443634074375e-01 |   3.8759443634074375e-01 | 1
   13 |   2.3480409777081133e-03 |   2.3480409777081133e-03 | 1
   14 |   3.0137849675035315e-06 |   3.0137849675035315e-06 | 1
   15 |  -4.8109459267599228e-03 |  -4.8109459267599228e-03 | 1
   16 |   4.6538618017209210e-03 |   4.6538618017209210e-03 | 1
   17 |   1.3770014956493474e+01 |   1.3770014956493474e+01 | 1
   18 |   3.7045531215414490e-01 |   3.7045531215414490e-01 | 1
