index | b_base                   | b_new                    | equal
    1 |   1.3817455903129156e+01 |   1.3817455903129156e+01 | 1
    2 |   1.4077867842287489e+01 |   1.4077867842287489e+01 | 1
    3 |   1.3450290246623483e+01 |   1.3450290246623483e+01 | 1
    4 |   1.4148167849750841e+01 |   1.4148167849750841e+01 | 1
    5 |   1.4125141131727018e+01 |   1.4125141131727018e+01 | 1
    6 |   1.4684070939606526e+01 |   1.4684070939606526e+01 | 1
    7 |   1.4285186730444073e+01 |   1.4285186730444073e+01 | 1
    8 |   1.6671273146177004e-01 |   1.6671273146177004e-01 | 1
    9 |  -5.1484172501991998e-01 |  -5.1484172501991998e-01 | 1
   10 |   1.4910639205899168e+01 |   1.4910639205899168e+01 | 1
   11 |   1.5563037980300712e-01 |   1.5563037980300712e-01 | 1
   12 |   3.8878757841519446e-01 |   3.8878757841519446e-01 | 1
   13 |   1.3981939104846541e+01 |   1.3981939104846541e+01 | 1
   14 |   4.8358698073816297e-01 |   4.8358698073816297e-01 | 1
