row,col | V_base                   | V_new                    | equal
  1,  1 |   3.9494805691173401e-04 |   3.9494805691173401e-04 | 1
  1,  2 |   1.8762447341355985e-03 |   1.8762447341355985e-03 | 1
  1,  3 |   2.6145641588210791e-04 |   2.6145641588210791e-04 | 1
  1,  4 |   1.3275786286942099e-04 |   1.3275786286942099e-04 | 1
  1,  5 |  -2.9101257824144886e-04 |  -2.9101257824144886e-04 | 1
  1,  6 |   5.7770920490398582e-05 |   5.7770920490398582e-05 | 1
  2,  1 |   1.8762447341355985e-03 |   1.8762447341355985e-03 | 1
  2,  2 |   2.1863959972001260e-02 |   2.1863959972001260e-02 | 1
  2,  3 |   1.6801523375065564e-03 |   1.6801523375065564e-03 | 1
  2,  4 |   9.4173836331034883e-04 |   9.4173836331034883e-04 | 1
  2,  5 |  -5.1516190766178662e-03 |  -5.1516190766178662e-03 | 1
  2,  6 |  -4.9705483943604382e-04 |  -4.9705483943604382e-04 | 1
  3,  1 |   2.6145641588210791e-04 |   2.6145641588210791e-04 | 1
  3,  2 |   1.6801523375065564e-03 |   1.6801523375065564e-03 | 1
  3,  3 |   8.5188036593915779e-03 |   8.5188036593915779e-03 | 1
  3,  4 |   1.6075913206900879e-04 |   1.6075913206900879e-04 | 1
  3,  5 |  -1.4061389249420678e-04 |  -1.4061389249420678e-04 | 1
  3,  6 |   1.3634333331666824e-04 |   1.3634333331666824e-04 | 1
  4,  1 |   1.3275786286942099e-04 |   1.3275786286942099e-04 | 1
  4,  2 |   9.4173836331034883e-04 |   9.4173836331034883e-04 | 1
  4,  3 |   1.6075913206900879e-04 |   1.6075913206900879e-04 | 1
  4,  4 |   3.6067386544803414e-03 |   3.6067386544803414e-03 | 1
  4,  5 |  -9.6152210341263447e-05 |  -9.6152210341263447e-05 | 1
  4,  6 |   6.3568406570268377e-05 |   6.3568406570268377e-05 | 1
  5,  1 |  -2.9101257824144886e-04 |  -2.9101257824144886e-04 | 1
  5,  2 |  -5.1516190766178662e-03 |  -5.1516190766178662e-03 | 1
  5,  3 |  -1.4061389249420678e-04 |  -1.4061389249420678e-04 | 1
  5,  4 |  -9.6152210341263447e-05 |  -9.6152210341263447e-05 | 1
  5,  5 |   3.8853448908334823e-03 |   3.8853448908334823e-03 | 1
  5,  6 |   3.4295550121271579e-04 |   3.4295550121271579e-04 | 1
  6,  1 |   5.7770920490398582e-05 |   5.7770920490398582e-05 | 1
  6,  2 |  -4.9705483943604382e-04 |  -4.9705483943604382e-04 | 1
  6,  3 |   1.3634333331666824e-04 |   1.3634333331666824e-04 | 1
  6,  4 |   6.3568406570268377e-05 |   6.3568406570268377e-05 | 1
  6,  5 |   3.4295550121271579e-04 |   3.4295550121271579e-04 | 1
  6,  6 |   3.4596789252219767e-04 |   3.4596789252219767e-04 | 1
