index | b_base                   | b_new                    | equal
    1 |   1.3316369672175526e+01 |   1.3316369672175526e+01 | 1
    2 |   1.3536561126314355e+01 |   1.3536561126314355e+01 | 1
    3 |  -2.5892258193626890e+02 |  -2.5892258193626890e+02 | 1
    4 |   1.3485314368226653e+01 |   1.3485314368226653e+01 | 1
    5 |   1.3457268471679534e+01 |   1.3457268471679534e+01 | 1
    6 |   1.4004705922809995e+01 |   1.4004705922809995e+01 | 1
    7 |   1.3496911831661862e+01 |   1.3496911831661862e+01 | 1
    8 |   1.0273265594596961e-01 |   1.0273265594596961e-01 | 1
    9 |  -6.6151059721883987e-01 |  -6.6151059721883987e-01 | 1
   10 |   1.4425583252428197e+01 |   1.4425583252428197e+01 | 1
   11 |   1.8871644611222130e-01 |   1.8871644611222130e-01 | 1
   12 |   4.4121177229758646e-01 |   4.4121177229758646e-01 | 1
   13 |   1.0589263791701559e-01 |   1.0589263791701559e-01 | 1
   14 |   4.6066969903447767e-05 |   4.6066969903447767e-05 | 1
   15 |   4.4165343208291519e-02 |   4.4165343208291519e-02 | 1
   16 |   2.2830705061592563e-03 |   2.2830705061592563e-03 | 1
   17 |   1.3438567852990314e+01 |   1.3438567852990314e+01 | 1
   18 |   3.8177421536468625e-01 |   3.8177421536468625e-01 | 1
