index | b_base                   | b_new                    | equal
    1 |   1.3848642280003412e+01 |   1.3848642280003412e+01 | 1
    2 |   1.4174277359233004e+01 |   1.4174277359233004e+01 | 1
    3 |   1.6451528105263276e+02 |   1.6451528105263276e+02 | 1
    4 |   1.3993389948346579e+01 |   1.3993389948346579e+01 | 1
    5 |   1.4218573585921384e+01 |   1.4218573585921384e+01 | 1
    6 |   1.4838173249159899e+01 |   1.4838173249159899e+01 | 1
    7 |   1.4316374392282622e+01 |   1.4316374392282622e+01 | 1
    8 |   1.5465368577141295e-01 |   1.5465368577141295e-01 | 1
    9 |  -6.9664600974586588e-01 |  -6.9664600974586588e-01 | 1
   10 |   1.5725503774122760e+01 |   1.5725503774122760e+01 | 1
   11 |   1.2386063439322917e-01 |   1.2386063439322917e-01 | 1
   12 |   3.4403438805825176e-01 |   3.4403438805825176e-01 | 1
   13 |   1.4040655950906372e+01 |   1.4040655950906372e+01 | 1
   14 |   5.9729565317253841e-01 |   5.9729565317253841e-01 | 1
