estname,n_marker,n_fit,verdict
grc_chn_cub_c1,56852,56852,PASS
grc_chn_cub_c2,56852,56852,PASS
grc_chn_cub_ca,56852,56852,PASS
grc_chn_cub_ct,56852,56852,PASS
grc_chn_cuu_c1,109535,109535,PASS
grc_chn_cuu_c2,109535,109535,PASS
grc_chn_cuu_ca,109535,109535,PASS
grc_chn_cuu_ct,109535,109535,PASS
grc_chn_rf_cuu_c1,80742,80742,PASS
grc_chn_rf_cuu_c2,80742,80742,PASS
grc_chn_rf_cuu_ca,80742,80742,PASS
grc_chn_rf_cuu_ct,80742,80742,PASS
grc_chn_uf_cuu_c1,28264,28264,PASS
grc_chn_uf_cuu_c2,28264,28264,PASS
grc_chn_uf_cuu_ca,28264,28264,PASS
grc_chn_uf_cuu_ct,28264,28264,PASS
grc_idn_cub_c1,16275,16275,PASS
grc_idn_cub_c2,16275,16275,PASS
grc_idn_cub_ca,16275,16275,PASS
grc_idn_cub_ct,16275,16275,PASS
grc_idn_cuu_c1,92438,92438,PASS
grc_idn_cuu_c2,92438,92438,PASS
grc_idn_cuu_ca,92438,92438,PASS
grc_idn_cuu_ct,92449,92449,PASS
grc_tza_cub_c1,23526,23526,PASS
grc_tza_cub_c2,23526,23526,PASS
grc_tza_cub_ca,23526,23526,PASS
grc_tza_cub_ct,23526,23526,PASS
grc_tza_cuu_c1,29862,29862,PASS
grc_tza_cuu_c2,29862,29862,PASS
grc_tza_cuu_ca,29862,29862,PASS
grc_tza_cuu_ct,29862,29862,PASS
vv_tza_os_covs_0,29862,29862,PASS
vv_tza_os_covs_1,29862,29862,PASS
vv_tza_os_covs_2,29862,29862,PASS
vv_tza_os_covs_all,29862,29862,PASS
vv_tza_os_covs_trend,29862,29862,PASS
vv_tza_ts_covs_0,29862,29862,PASS
vv_tza_ts_covs_1,29862,29862,PASS
vv_tza_ts_covs_2,29862,29862,PASS
vv_tza_ts_covs_all,29862,29862,PASS
vv_tza_ts_covs_trend,29862,29862,PASS
