estname,n_base,n_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict,gate_fail
vv_chn_os_covs_0,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_0_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_0_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_0_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_0_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_1,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_1_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_1_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_1_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_1_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_2,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_2_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_2_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_2_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_2_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_all,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_all_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_all_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_all_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_all_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_trend,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_trend_a,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_trend_d,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_trend_g,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
vv_chn_os_covs_trend_n,109535,109535,1,1,0.0000000000000000e+00,PASS_BITWISE,0
