index | b_base                   | b_new                    | equal
    1 |   9.7472866697197436e+00 |   9.7472866697197436e+00 | 1
    2 |   9.7390300184371483e+00 |   9.7390300184371483e+00 | 1
    3 |   9.9854691005091976e+00 |   9.9854691005091976e+00 | 1
    4 |   9.7532689514061541e+00 |   9.7532689514061541e+00 | 1
    5 |   9.8292556319114031e+00 |   9.8292556319114031e+00 | 1
    6 |   9.7597826009826143e+00 |   9.7597826009826143e+00 | 1
    7 |   1.0590463594669055e+01 |   1.0590463594669055e+01 | 1
    8 |   9.2345252721242357e+00 |   9.2345252721242357e+00 | 1
    9 |   9.9673313248746744e+00 |   9.9673313248746744e+00 | 1
   10 |   9.9933103953204636e+00 |   9.9933103953204636e+00 | 1
   11 |   1.0863450717552571e+01 |   1.0863450717552571e+01 | 1
   12 |   1.0342768292241228e+01 |   1.0342768292241228e+01 | 1
   13 |   1.0049951529840252e+01 |   1.0049951529840252e+01 | 1
   14 |   4.0436980466132666e-01 |   4.0436980466132666e-01 | 1
   15 |  -7.4296677887424012e-01 |  -7.4296677887424012e-01 | 1
   16 |   1.0083864452393330e+01 |   1.0083864452393330e+01 | 1
   17 |   9.8358451792146528e+00 |   9.8358451792146528e+00 | 1
   18 |   1.0018639207850735e-01 |   1.0018639207850735e-01 | 1
