index | b_base                   | b_new                    | equal
    1 |   8.3324000404798662e-02 |   8.3324000404798662e-02 | 1
    2 |   6.9953518368393433e-02 |   6.9953518368393433e-02 | 1
    3 |   7.1804456173544626e-02 |   7.1804456173544626e-02 | 1
    4 |   8.3916286287158151e-02 |   8.3916286287158151e-02 | 1
    5 |   8.8496924358866622e-02 |   8.8496924358866622e-02 | 1
    6 |   3.5852329756567110e-02 |   3.5852329756567110e-02 | 1
    7 |   9.4987628589518189e-02 |   9.4987628589518189e-02 | 1
    8 |   8.2268345976058255e-02 |   8.2268345976058255e-02 | 1
    9 |   6.3197987408626644e-02 |   6.3197987408626644e-02 | 1
   10 |   3.3865182741780117e-02 |   3.3865182741780117e-02 | 1
   11 |   5.2111392389805181e-02 |   5.2111392389805181e-02 | 1
   12 |   7.8802992709561051e-02 |   7.8802992709561051e-02 | 1
