index | b_base                   | b_new                    | equal
    1 |   9.1925855612126792e+00 |   9.1925855612126792e+00 | 1
    2 |   9.2045028299848397e+00 |   9.2045028299848397e+00 | 1
    3 |   9.3330935254127407e+00 |   9.3330935254127407e+00 | 1
    4 |   9.3338710982554609e+00 |   9.3338710982554609e+00 | 1
    5 |   9.0303897179382400e+00 |   9.0303897179382400e+00 | 1
    6 |   9.1730374419889369e+00 |   9.1730374419889369e+00 | 1
    7 |   9.8057854527779540e+00 |   9.8057854527779540e+00 | 1
    8 |   9.0877162650610934e+00 |   9.0877162650610934e+00 | 1
    9 |   9.2233755642397206e+00 |   9.2233755642397206e+00 | 1
   10 |   9.4373548497014461e+00 |   9.4373548497014461e+00 | 1
   11 |   9.8032258295949433e+00 |   9.8032258295949433e+00 | 1
   12 |   9.5566236990207276e+00 |   9.5566236990207276e+00 | 1
   13 |   9.2584055894862605e+00 |   9.2584055894862605e+00 | 1
   14 |   9.3731079138637763e-02 |   9.3731079138637763e-02 | 1
   15 |  -1.5723168952499328e-01 |  -1.5723168952499328e-01 | 1
   16 |   9.4947658746314456e+00 |   9.4947658746314456e+00 | 1
   17 |   2.8838303124825670e-01 |   2.8838303124825670e-01 | 1
   18 |   5.4331356735095138e-01 |   5.4331356735095138e-01 | 1
   19 |   7.6691396136862477e-01 |   7.6691396136862477e-01 | 1
   20 |   6.3941870481861826e-02 |   6.3941870481861826e-02 | 1
   21 |  -2.3467941559206281e-05 |  -2.3467941559206281e-05 | 1
   22 |   1.8230688126493602e-02 |   1.8230688126493602e-02 | 1
   23 |   1.6746181008327010e-03 |   1.6746181008327010e-03 | 1
   24 |   9.1789555294697411e+00 |   9.1789555294697411e+00 | 1
   25 |   2.8990484138893446e-01 |   2.8990484138893446e-01 | 1
