row,col | V_base                   | V_new                    | equal
  1,  1 |   1.4553097605892768e-03 |   1.4553097605892768e-03 | 1
  1,  2 |   1.3569230298964971e-03 |   1.3569230298964971e-03 | 1
  1,  3 |   1.2866840811787991e-03 |   1.2866840811787991e-03 | 1
  1,  4 |   9.4622631866513767e-04 |   9.4622631866513767e-04 | 1
  1,  5 |   1.3060943533213269e-03 |   1.3060943533213269e-03 | 1
  1,  6 |   1.4509348346107768e-03 |   1.4509348346107768e-03 | 1
  1,  7 |   1.4796258878255579e-03 |   1.4796258878255579e-03 | 1
  1,  8 |   1.1958715218695092e-03 |   1.1958715218695092e-03 | 1
  1,  9 |   1.0962960981409364e-03 |   1.0962960981409364e-03 | 1
  1, 10 |   2.2230775722633031e-03 |   2.2230775722633031e-03 | 1
  1, 11 |   1.3652965847580725e-03 |   1.3652965847580725e-03 | 1
  1, 12 |   1.5007907231409992e-03 |   1.5007907231409992e-03 | 1
  2,  1 |   1.3569230298964971e-03 |   1.3569230298964971e-03 | 1
  2,  2 |   2.0425350545661240e-03 |   2.0425350545661240e-03 | 1
  2,  3 |   1.9762308263971918e-03 |   1.9762308263971918e-03 | 1
  2,  4 |  -6.1254174789063384e-05 |  -6.1254174789063384e-05 | 1
  2,  5 |   9.4714852767808632e-04 |   9.4714852767808632e-04 | 1
  2,  6 |   5.1894534620636115e-03 |   5.1894534620636115e-03 | 1
  2,  7 |   6.1909096768572808e-04 |   6.1909096768572808e-04 | 1
  2,  8 |   1.1583717762266616e-03 |   1.1583717762266616e-03 | 1
  2,  9 |   3.3661365032331813e-03 |   3.3661365032331813e-03 | 1
  2, 10 |   6.1855054800970342e-03 |   6.1855054800970342e-03 | 1
  2, 11 |   3.4684752526649037e-03 |   3.4684752526649037e-03 | 1
  2, 12 |   1.4534936070489499e-03 |   1.4534936070489499e-03 | 1
  3,  1 |   1.2866840811787991e-03 |   1.2866840811787991e-03 | 1
  3,  2 |   1.9762308263971918e-03 |   1.9762308263971918e-03 | 1
  3,  3 |   1.9681341355739191e-03 |   1.9681341355739191e-03 | 1
  3,  4 |  -8.8128486759932526e-05 |  -8.8128486759932526e-05 | 1
  3,  5 |   8.8071809593317564e-04 |   8.8071809593317564e-04 | 1
  3,  6 |   5.2066409372097597e-03 |   5.2066409372097597e-03 | 1
  3,  7 |   5.4362271859256784e-04 |   5.4362271859256784e-04 | 1
  3,  8 |   1.1099236213475035e-03 |   1.1099236213475035e-03 | 1
  3,  9 |   3.3694962063751839e-03 |   3.3694962063751839e-03 | 1
  3, 10 |   6.1200476478573988e-03 |   6.1200476478573988e-03 | 1
  3, 11 |   3.4496886560074456e-03 |   3.4496886560074456e-03 | 1
