index | b_base                   | b_new                    | equal
    1 |   9.3731079138637763e-02 |   9.3731079138637763e-02 | 1
    2 |   7.3512546839315060e-02 |   7.3512546839315060e-02 | 1
    3 |   7.3390287747525415e-02 |   7.3390287747525415e-02 | 1
    4 |   1.2110717791417910e-01 |   1.2110717791417910e-01 | 1
    5 |   9.8678435254793001e-02 |   9.8678435254793001e-02 | 1
    6 |  -8.0960352514282408e-04 |  -8.0960352514282408e-04 | 1
    7 |   1.1209362805541871e-01 |   1.1209362805541871e-01 | 1
    8 |   9.0763687245786623e-02 |   9.0763687245786623e-02 | 1
    9 |   5.7119362669288694e-02 |   5.7119362669288694e-02 | 1
   10 |  -4.0714964753070515e-04 |  -4.0714964753070515e-04 | 1
   11 |   3.8366519983116215e-02 |   3.8366519983116215e-02 | 1
   12 |   8.5255857192169993e-02 |   8.5255857192169993e-02 | 1
