index | b_base                   | b_new                    | equal
    1 |   9.3426272088002715e+00 |   9.3426272088002715e+00 | 1
    2 |   9.4413966014110677e+00 |   9.4413966014110677e+00 | 1
    3 |   9.6174548158961191e+00 |   9.6174548158961191e+00 | 1
    4 |   9.5933621076312843e+00 |   9.5933621076312843e+00 | 1
    5 |   9.4334827708480677e+00 |   9.4334827708480677e+00 | 1
    6 |   9.3757448888192112e+00 |   9.3757448888192112e+00 | 1
    7 |   1.0064741253720623e+01 |   1.0064741253720623e+01 | 1
    8 |   9.2875739806404169e+00 |   9.2875739806404169e+00 | 1
    9 |   9.4554585704280285e+00 |   9.4554585704280285e+00 | 1
   10 |   9.7061961830413015e+00 |   9.7061961830413015e+00 | 1
   11 |   1.0093631728288516e+01 |   1.0093631728288516e+01 | 1
   12 |   9.8526279842932851e+00 |   9.8526279842932851e+00 | 1
   13 |   9.5009605055585080e+00 |   9.5009605055585080e+00 | 1
   14 |   8.3327894976321218e-02 |   8.3327894976321218e-02 | 1
   15 |  -7.5831534086733335e-02 |  -7.5831534086733335e-02 | 1
   16 |   9.7688368356827073e+00 |   9.7688368356827073e+00 | 1
   17 |   2.9942650084910277e-01 |   2.9942650084910277e-01 | 1
   18 |   5.4653164263746312e-01 |   5.4653164263746312e-01 | 1
   19 |   7.7267970019131982e-01 |   7.7267970019131982e-01 | 1
   20 |   9.3893602450672997e+00 |   9.3893602450672997e+00 | 1
   21 |   4.1186211064098122e-01 |   4.1186211064098122e-01 | 1
