index | b_base                   | b_new                    | equal
    1 |   8.3327894976321218e-02 |   8.3327894976321218e-02 | 1
    2 |   6.9977130483348637e-02 |   6.9977130483348637e-02 | 1
    3 |   7.1804117511375179e-02 |   7.1804117511375179e-02 | 1
    4 |   8.3928012888415990e-02 |   8.3928012888415990e-02 | 1
    5 |   8.8306365057583006e-02 |   8.8306365057583006e-02 | 1
    6 |   3.6058713726926248e-02 |   3.6058713726926248e-02 | 1
    7 |   9.4992500286601472e-02 |   9.4992500286601472e-02 | 1
    8 |   8.2261554293484973e-02 |   8.2261554293484973e-02 | 1
    9 |   6.3247736475775418e-02 |   6.3247736475775418e-02 | 1
   10 |   3.3867904719949160e-02 |   3.3867904719949160e-02 | 1
   11 |   5.2143588347753858e-02 |   5.2143588347753858e-02 | 1
   12 |   7.8811072748625685e-02 |   7.8811072748625685e-02 | 1
