index | b_base                   | b_new                    | equal
    1 |   9.6127194648429146e+00 |   9.6127194648429146e+00 | 1
    2 |   9.6558652100747047e+00 |   9.6558652100747047e+00 | 1
    3 |   9.7736320980699229e+00 |   9.7736320980699229e+00 | 1
    4 |   9.7867954165168545e+00 |   9.7867954165168545e+00 | 1
    5 |   9.6096107694191097e+00 |   9.6096107694191097e+00 | 1
    6 |   8.7616743044326828e+00 |   8.7616743044326828e+00 | 1
    7 |  -7.9442199186608445e+02 |  -7.9442199186608445e+02 | 1
    8 |   9.5034519889134561e+00 |   9.5034519889134561e+00 | 1
    9 |   9.5906662509297202e+00 |   9.5906662509297202e+00 | 1
   10 |   1.0245533458307065e+01 |   1.0245533458307065e+01 | 1
   11 |   1.0656393546317114e+01 |   1.0656393546317114e+01 | 1
   12 |   1.0096392655620797e+01 |   1.0096392655620797e+01 | 1
   13 |   9.7710980755924695e+00 |   9.7710980755924695e+00 | 1
   14 |   3.2841230944965015e-02 |   3.2841230944965015e-02 | 1
   15 |  -2.3447798349419802e-01 |  -2.3447798349419802e-01 | 1
   16 |   1.0261599723027043e+01 |   1.0261599723027043e+01 | 1
   17 |   3.4429866470334231e-01 |   3.4429866470334231e-01 | 1
   18 |   5.9910911451591997e-01 |   5.9910911451591997e-01 | 1
   19 |   8.4738948984932794e-01 |   8.4738948984932794e-01 | 1
   20 |  -1.9410547169015344e-02 |  -1.9410547169015344e-02 | 1
   21 |  -8.9396416034230079e-05 |  -8.9396416034230079e-05 | 1
   22 |   9.6056257912565908e+00 |   9.6056257912565908e+00 | 1
   23 |   4.7338624348591857e-01 |   4.7338624348591857e-01 | 1
