index | b_base                   | b_new                    | equal
    1 |   3.2841230944965015e-02 |   3.2841230944965015e-02 | 1
    2 |   5.2274885254591542e-03 |   5.2274885254591542e-03 | 1
    3 |   2.1409801599306735e-03 |   2.1409801599306735e-03 | 1
    4 |   4.3686878917540958e-02 |   4.3686878917540958e-02 | 1
    5 |   2.4250931135875700e-01 |   2.4250931135875700e-01 | 1
    6 |   1.8857139573049872e+02 |   1.8857139573049872e+02 | 1
    7 |   6.8578775700709804e-02 |   6.8578775700709804e-02 | 1
    8 |   4.8128951411201562e-02 |   4.8128951411201562e-02 | 1
    9 |  -1.0542299083111506e-01 |  -1.0542299083111506e-01 | 1
   10 |  -2.0176063576595998e-01 |  -2.0176063576595998e-01 | 1
   11 |  -7.0452756160532731e-02 |  -7.0452756160532731e-02 | 1
   12 |   5.8216610061014237e-03 |   5.8216610061014237e-03 | 1
