index | b_base                   | b_new                    | equal
    1 |   9.1933493106696051e+00 |   9.1933493106696051e+00 | 1
    2 |   9.2032996293992184e+00 |   9.2032996293992184e+00 | 1
    3 |   9.3273992808599946e+00 |   9.3273992808599946e+00 | 1
    4 |   9.3328499741818405e+00 |   9.3328499741818405e+00 | 1
    5 |   9.0419470037677652e+00 |   9.0419470037677652e+00 | 1
    6 |   9.1703375045519646e+00 |   9.1703375045519646e+00 | 1
    7 |   9.4728417556657654e+00 |   9.4728417556657654e+00 | 1
    8 |   9.0879326269461984e+00 |   9.0879326269461984e+00 | 1
    9 |   9.2196018321801620e+00 |   9.2196018321801620e+00 | 1
   10 |   9.4414076911261482e+00 |   9.4414076911261482e+00 | 1
   11 |   9.7983640921361506e+00 |   9.7983640921361506e+00 | 1
   12 |   9.5583029935889421e+00 |   9.5583029935889421e+00 | 1
   13 |   9.2541248623364236e+00 |   9.2541248623364236e+00 | 1
   14 |   9.2932949126989711e-02 |   9.2932949126989711e-02 | 1
   15 |  -1.5627565668753654e-01 |  -1.5627565668753654e-01 | 1
   16 |   9.4949216208935940e+00 |   9.4949216208935940e+00 | 1
   17 |   2.8829503814667884e-01 |   2.8829503814667884e-01 | 1
   18 |   5.4323949105920488e-01 |   5.4323949105920488e-01 | 1
   19 |   7.6697968846679265e-01 |   7.6697968846679265e-01 | 1
   20 |   6.4088194446229665e-02 |   6.4088194446229665e-02 | 1
   21 |  -2.3447180651758978e-05 |  -2.3447180651758978e-05 | 1
   22 |   1.8247145735176142e-02 |   1.8247145735176142e-02 | 1
   23 |   1.6754879735789696e-03 |   1.6754879735789696e-03 | 1
   24 |   9.1789099828898095e+00 |   9.1789099828898095e+00 | 1
   25 |   2.9007268681626452e-01 |   2.9007268681626452e-01 | 1
