index | b_base                   | b_new                    | equal
    1 |   9.2932949126989711e-02 |   9.2932949126989711e-02 | 1
    2 |   7.3539194600262509e-02 |   7.3539194600262509e-02 | 1
    3 |   7.2687383921988674e-02 |   7.2687383921988674e-02 | 1
    4 |   1.1814843665580331e-01 |   1.1814843665580331e-01 | 1
    5 |   9.8084126833310858e-02 |   9.8084126833310858e-02 | 1
    6 |   5.0810076339730198e-02 |   5.0810076339730198e-02 | 1
    7 |   1.1096200319540805e-01 |   1.1096200319540805e-01 | 1
    8 |   9.0385311681944358e-02 |   9.0385311681944358e-02 | 1
    9 |   5.5722455418017278e-02 |   5.5722455418017278e-02 | 1
   10 |  -6.1140558640482290e-05 |  -6.1140558640482290e-05 | 1
   11 |   3.7454565261955952e-02 |   3.7454565261955952e-02 | 1
   12 |   8.4990202473430962e-02 |   8.4990202473430962e-02 | 1
