index | b_base                   | b_new                    | equal
    1 |   9.3668347980684370e+00 |   9.3668347980684370e+00 | 1
    2 |   9.4621656509615661e+00 |   9.4621656509615661e+00 | 1
    3 |   9.6350967356179638e+00 |   9.6350967356179638e+00 | 1
    4 |   9.6091469361030324e+00 |   9.6091469361030324e+00 | 1
    5 |   9.4729115174881979e+00 |   9.4729115174881979e+00 | 1
    6 |   9.0901625030640982e+00 |   9.0901625030640982e+00 | 1
    7 |   9.9880756433525182e+00 |   9.9880756433525182e+00 | 1
    8 |   9.3001341603684224e+00 |   9.3001341603684224e+00 | 1
    9 |   9.4574984485468434e+00 |   9.4574984485468434e+00 | 1
   10 |   9.7989796969151222e+00 |   9.7989796969151222e+00 | 1
   11 |   1.0186486666306832e+01 |   1.0186486666306832e+01 | 1
   12 |   9.8859255812597553e+00 |   9.8859255812597553e+00 | 1
   13 |   9.5314873884520885e+00 |   9.5314873884520885e+00 | 1
   14 |   7.1967868762403353e-02 |   7.1967868762403353e-02 | 1
   15 |  -1.2700634223388729e-01 |  -1.2700634223388729e-01 | 1
   16 |   9.8199339604243896e+00 |   9.8199339604243896e+00 | 1
   17 |   2.9536184854096947e-01 |   2.9536184854096947e-01 | 1
   18 |   5.3962653717553344e-01 |   5.3962653717553344e-01 | 1
   19 |   7.6876472023711639e-01 |   7.6876472023711639e-01 | 1
   20 |   9.4093251155260447e+00 |   9.4093251155260447e+00 | 1
   21 |   4.2137202513746119e-01 |   4.2137202513746119e-01 | 1
