index | b_base                   | b_new                    | equal
    1 |   7.1967868762403353e-02 |   7.1967868762403353e-02 | 1
    2 |   5.0004524241655579e-02 |   5.0004524241655579e-02 | 1
    3 |   5.3300313359749718e-02 |   5.3300313359749718e-02 | 1
    4 |   7.0603075560722289e-02 |   7.0603075560722289e-02 | 1
    5 |   1.1921462787635255e-01 |   1.1921462787635255e-01 | 1
    6 |   5.1739642845770317e-03 |   5.1739642845770317e-03 | 1
    7 |   9.2546895709343047e-02 |   9.2546895709343047e-02 | 1
    8 |   7.2560633069562452e-02 |   7.2560633069562452e-02 | 1
    9 |   2.9190348772845778e-02 |   2.9190348772845778e-02 | 1
   10 |  -2.0025493999734245e-02 |  -2.0025493999734245e-02 | 1
   11 |   1.8147670029943316e-02 |   1.8147670029943316e-02 | 1
   12 |   6.3163568446434365e-02 |   6.3163568446434365e-02 | 1
