index | b_base                   | b_new                    | equal
    1 |   1.0913639234106553e+01 |   1.0913639234106553e+01 | 1
    2 |   1.0952722809624417e+01 |   1.0952722809624417e+01 | 1
    3 |   1.1176637001948709e+01 |   1.1176637001948709e+01 | 1
    4 |   1.0944310539721059e+01 |   1.0944310539721059e+01 | 1
    5 |   1.1094634554157016e+01 |   1.1094634554157016e+01 | 1
    6 |   1.1007954801625155e+01 |   1.1007954801625155e+01 | 1
    7 |   1.1040134300144006e+01 |   1.1040134300144006e+01 | 1
    8 |   1.1048324900194421e+01 |   1.1048324900194421e+01 | 1
    9 |   1.0902910892912695e+01 |   1.0902910892912695e+01 | 1
   10 |   1.1012660746808461e+01 |   1.1012660746808461e+01 | 1
   11 |   1.1307268107804365e+01 |   1.1307268107804365e+01 | 1
   12 |   1.1167678089317519e+01 |   1.1167678089317519e+01 | 1
   13 |   1.0616808246190468e+01 |   1.0616808246190468e+01 | 1
   14 |   1.0792530133641019e+01 |   1.0792530133641019e+01 | 1
   15 |   1.1160066717271670e+01 |   1.1160066717271670e+01 | 1
   16 |   1.1122241859926058e+01 |   1.1122241859926058e+01 | 1
   17 |   1.0958946653964938e+01 |   1.0958946653964938e+01 | 1
   18 |   1.0995293206963323e+01 |   1.0995293206963323e+01 | 1
   19 |   1.0878187780616877e+01 |   1.0878187780616877e+01 | 1
   20 |   1.1124248460888360e+01 |   1.1124248460888360e+01 | 1
   21 |   1.1041107031001790e+01 |   1.1041107031001790e+01 | 1
   22 |   1.1391012966401011e+01 |   1.1391012966401011e+01 | 1
   23 |   1.1176032991362147e+01 |   1.1176032991362147e+01 | 1
   24 |   1.1156551273563032e+01 |   1.1156551273563032e+01 | 1
   25 |   1.1127953182140976e+01 |   1.1127953182140976e+01 | 1
   26 |   1.1060333041475081e+01 |   1.1060333041475081e+01 | 1
   27 |   1.1646037425072318e+01 |   1.1646037425072318e+01 | 1
   28 |   1.1340707033810450e+01 |   1.1340707033810450e+01 | 1
   29 |   1.0971703341992580e+01 |   1.0971703341992580e+01 | 1
   30 |   1.1338149367974145e+01 |   1.1338149367974145e+01 | 1
   31 |   1.1450615134716427e+01 |   1.1450615134716427e+01 | 1
   32 |   6.9661687044095227e-02 |   6.9661687044095227e-02 | 1
   33 |  -2.3568782298532343e-01 |  -2.3568782298532343e-01 | 1
   34 |   1.1325914035893470e+01 |   1.1325914035893470e+01 | 1
   35 |   2.1082515863657103e-01 |   2.1082515863657103e-01 | 1
   36 |   3.8298751638021528e-01 |   3.8298751638021528e-01 | 1
   37 |   5.9913585499157462e-01 |   5.9913585499157462e-01 | 1
   38 |   1.1023881021320991e+00 |   1.1023881021320991e+00 | 1
   39 |  -8.8090099674956856e-03 |  -8.8090099674956856e-03 | 1
   40 |  -7.4514550043589789e-06 |  -7.4514550043589789e-06 | 1
   41 |   1.0872506781123274e+01 |   1.0872506781123274e+01 | 1
   42 |   2.6415464780864278e-01 |   2.6415464780864278e-01 | 1
