index | b_base                   | b_new                    | equal
    1 |   6.9661687044095227e-02 |   6.9661687044095227e-02 | 1
    2 |   1.6887838519665778e-02 |   1.6887838519665778e-02 | 1
    3 |   7.1644356623982677e-02 |   7.1644356623982677e-02 | 1
    4 |   3.6214816919157483e-02 |   3.6214816919157483e-02 | 1
    5 |   5.6644179090298383e-02 |   5.6644179090298383e-02 | 1
    6 |   4.9059863139631094e-02 |   4.9059863139631094e-02 | 1
    7 |   4.7129438444805188e-02 |   4.7129438444805188e-02 | 1
    8 |   8.1401749252607167e-02 |   8.1401749252607167e-02 | 1
    9 |   5.5535045114956869e-02 |   5.5535045114956869e-02 | 1
   10 |  -1.3900322433619106e-02 |  -1.3900322433619106e-02 | 1
   11 |   1.8999345134026659e-02 |   1.8999345134026659e-02 | 1
   12 |   1.4883265920890804e-01 |   1.4883265920890804e-01 | 1
   13 |   1.0741715010481551e-01 |   1.0741715010481551e-01 | 1
   14 |   2.0793252841444169e-02 |   2.0793252841444169e-02 | 1
   15 |   2.9708111123961864e-02 |   2.9708111123961864e-02 | 1
   16 |   6.8194802720878217e-02 |   6.8194802720878217e-02 | 1
   17 |   5.9628362771668213e-02 |   5.9628362771668213e-02 | 1
   18 |   8.7228685767030356e-02 |   8.7228685767030356e-02 | 1
   19 |   2.9235179711556675e-02 |   2.9235179711556675e-02 | 1
   20 |   4.8830602321409330e-02 |   4.8830602321409330e-02 | 1
   21 |  -3.3637965842476261e-02 |  -3.3637965842476261e-02 | 1
   22 |   1.7030196459872637e-02 |   1.7030196459872637e-02 | 1
   23 |   2.1621800115960509e-02 |   2.1621800115960509e-02 | 1
   24 |   2.8362022024760201e-02 |   2.8362022024760201e-02 | 1
   25 |   4.4299265768266267e-02 |   4.4299265768266267e-02 | 1
   26 |  -9.3744125314727367e-02 |  -9.3744125314727367e-02 | 1
   27 |  -2.1781470106960493e-02 |  -2.1781470106960493e-02 | 1
   28 |   6.5188206691140449e-02 |   6.5188206691140449e-02 | 1
   29 |  -2.1178659414077913e-02 |  -2.1178659414077913e-02 | 1
   30 |  -4.7685471137941624e-02 |  -4.7685471137941624e-02 | 1
