row,col | V_base                   | V_new                    | equal
  1,  1 |   4.3712471267161679e-03 |   4.3712471267161679e-03 | 1
  1,  2 |   1.7653831830344319e-03 |   1.7653831830344319e-03 | 1
  1,  3 |   3.7396423354878125e-03 |   3.7396423354878125e-03 | 1
  1,  4 |   2.3128913213666473e-03 |   2.3128913213666473e-03 | 1
  1,  5 |   2.8582919921266688e-03 |   2.8582919921266688e-03 | 1
  1,  6 |   1.1488326743146707e-03 |   1.1488326743146707e-03 | 1
  1,  7 |   2.0212628322317356e-03 |   2.0212628322317356e-03 | 1
  1,  8 |   2.5763245024742884e-03 |   2.5763245024742884e-03 | 1
  1,  9 |   6.1164532414606353e-03 |   6.1164532414606353e-03 | 1
  1, 10 |   1.3622774708735492e-03 |   1.3622774708735492e-03 | 1
  1, 11 |   1.6219554088859861e-03 |   1.6219554088859861e-03 | 1
  1, 12 |   1.5281361511749096e-03 |   1.5281361511749096e-03 | 1
  1, 13 |   3.2929990665245181e-03 |   3.2929990665245181e-03 | 1
  1, 14 |   2.0126717822452978e-03 |   2.0126717822452978e-03 | 1
  1, 15 |   3.8757813146820461e-03 |   3.8757813146820461e-03 | 1
  1, 16 |   2.3327168780473691e-03 |   2.3327168780473691e-03 | 1
  1, 17 |   2.9681479268810680e-03 |   2.9681479268810680e-03 | 1
  1, 18 |   2.2962698894011353e-03 |   2.2962698894011353e-03 | 1
  1, 19 |   3.1108589316037280e-03 |   3.1108589316037280e-03 | 1
  1, 20 |   4.0532634101253977e-03 |   4.0532634101253977e-03 | 1
  1, 21 |   8.3396581488705832e-04 |   8.3396581488705832e-04 | 1
  1, 22 |   4.0858864397874698e-03 |   4.0858864397874698e-03 | 1
  1, 23 |   1.1909064106680979e-03 |   1.1909064106680979e-03 | 1
  1, 24 |   4.7714607194210782e-03 |   4.7714607194210782e-03 | 1
  1, 25 |   3.8309698544339355e-03 |   3.8309698544339355e-03 | 1
  1, 26 |   3.0541215812273938e-03 |   3.0541215812273938e-03 | 1
  1, 27 |  -3.5644711515779443e-03 |  -3.5644711515779443e-03 | 1
  1, 28 |   3.2750432499473519e-03 |   3.2750432499473519e-03 | 1
