index | b_base                   | b_new                    | equal
    1 |   1.0513110821292539e+01 |   1.0513110821292539e+01 | 1
    2 |   1.0530602084505093e+01 |   1.0530602084505093e+01 | 1
    3 |   1.0748394309750640e+01 |   1.0748394309750640e+01 | 1
    4 |   1.0496695904194748e+01 |   1.0496695904194748e+01 | 1
    5 |   1.0683449138525081e+01 |   1.0683449138525081e+01 | 1
    6 |   1.0502199926728192e+01 |   1.0502199926728192e+01 | 1
    7 |   1.0319218338816047e+01 |   1.0319218338816047e+01 | 1
    8 |   1.0545305382385703e+01 |   1.0545305382385703e+01 | 1
    9 |   1.0403502257567490e+01 |   1.0403502257567490e+01 | 1
   10 |   1.0518830397546896e+01 |   1.0518830397546896e+01 | 1
   11 |   1.0999878410635302e+01 |   1.0999878410635302e+01 | 1
   12 |   1.0658211342042424e+01 |   1.0658211342042424e+01 | 1
   13 |   1.0262586545417868e+01 |   1.0262586545417868e+01 | 1
   14 |   1.0265486715502430e+01 |   1.0265486715502430e+01 | 1
   15 |   1.0519825577316871e+01 |   1.0519825577316871e+01 | 1
   16 |   1.0599964727853701e+01 |   1.0599964727853701e+01 | 1
   17 |   1.0571856071951332e+01 |   1.0571856071951332e+01 | 1
   18 |   1.0569332984392451e+01 |   1.0569332984392451e+01 | 1
   19 |   1.0499334414539657e+01 |   1.0499334414539657e+01 | 1
   20 |   1.0591595591889408e+01 |   1.0591595591889408e+01 | 1
   21 |   1.0621295874417070e+01 |   1.0621295874417070e+01 | 1
   22 |   1.0910304216139799e+01 |   1.0910304216139799e+01 | 1
   23 |   1.0713940007414175e+01 |   1.0713940007414175e+01 | 1
   24 |   1.0635139245088951e+01 |   1.0635139245088951e+01 | 1
   25 |   1.0701102237130840e+01 |   1.0701102237130840e+01 | 1
   26 |   1.0621796410030576e+01 |   1.0621796410030576e+01 | 1
   27 |   1.0900408314772220e+01 |   1.0900408314772220e+01 | 1
   28 |   1.0778927313340374e+01 |   1.0778927313340374e+01 | 1
   29 |   1.0487089826978831e+01 |   1.0487089826978831e+01 | 1
   30 |   1.0737940475578300e+01 |   1.0737940475578300e+01 | 1
   31 |   1.0867796730849665e+01 |   1.0867796730849665e+01 | 1
   32 |   5.0035672539638330e-02 |   5.0035672539638330e-02 | 1
   33 |  -3.0832099297674725e-01 |  -3.0832099297674725e-01 | 1
   34 |   1.0753411327280213e+01 |   1.0753411327280213e+01 | 1
   35 |   2.0234305481802395e-01 |   2.0234305481802395e-01 | 1
   36 |   3.4870880971793872e-01 |   3.4870880971793872e-01 | 1
   37 |   5.1413999969866908e-01 |   5.1413999969866908e-01 | 1
   38 |   9.8483621089655893e-01 |   9.8483621089655893e-01 | 1
   39 |   5.5842448494121587e-02 |   5.5842448494121587e-02 | 1
   40 |   6.8316261649943724e-05 |   6.8316261649943724e-05 | 1
   41 |   2.0862876097464934e-02 |   2.0862876097464934e-02 | 1
   42 |   2.3646444140350822e-03 |   2.3646444140350822e-03 | 1
   43 |   1.0460502066696925e+01 |   1.0460502066696925e+01 | 1
   44 |   1.3392859836423179e-01 |   1.3392859836423179e-01 | 1
