index | b_base                   | b_new                    | equal
    1 |   5.0035672539638330e-02 |   5.0035672539638330e-02 | 1
    2 |  -1.7114242610684359e-02 |  -1.7114242610684359e-02 | 1
    3 |   6.0489659720972359e-02 |   6.0489659720972359e-02 | 1
    4 |   2.9097170706251022e-03 |   2.9097170706251022e-03 | 1
    5 |   5.8792654028094596e-02 |   5.8792654028094596e-02 | 1
    6 |   1.1520971890962925e-01 |   1.1520971890962925e-01 | 1
    7 |   4.5502337137055794e-02 |   4.5502337137055794e-02 | 1
    8 |   8.9223217388212581e-02 |   8.9223217388212581e-02 | 1
    9 |   5.3665130751600912e-02 |   5.3665130751600912e-02 | 1
   10 |  -9.4652070313307829e-02 |  -9.4652070313307829e-02 | 1
   11 |   1.0691059542702802e-02 |   1.0691059542702802e-02 | 1
   12 |   1.3267048968420969e-01 |   1.3267048968420969e-01 | 1
   13 |   1.3177630636393611e-01 |   1.3177630636393611e-01 | 1
   14 |   5.3358295936731984e-02 |   5.3358295936731984e-02 | 1
   15 |   2.8649713466903513e-02 |   2.8649713466903513e-02 | 1
   16 |   3.7316202165963458e-02 |   3.7316202165963458e-02 | 1
   17 |   3.8094123027484952e-02 |   3.8094123027484952e-02 | 1
   18 |   5.9676151591450691e-02 |   5.9676151591450691e-02 | 1
   19 |   3.1230093777771532e-02 |   3.1230093777771532e-02 | 1
   20 |   2.2072873177152921e-02 |   2.2072873177152921e-02 | 1
   21 |  -6.7034465721362041e-02 |  -6.7034465721362041e-02 | 1
   22 |  -6.4912579019842792e-03 |  -6.4912579019842792e-03 | 1
   23 |   1.7804671385453587e-02 |   1.7804671385453587e-02 | 1
   24 |  -2.5331038206190190e-03 |  -2.5331038206190190e-03 | 1
   25 |   2.1918547539776474e-02 |   2.1918547539776474e-02 | 1
   26 |  -6.3983351585309850e-02 |  -6.3983351585309850e-02 | 1
   27 |  -2.6528208596033449e-02 |  -2.6528208596033449e-02 | 1
   28 |   6.3451414986795199e-02 |   6.3451414986795199e-02 | 1
   29 |  -1.3891106078254188e-02 |  -1.3891106078254188e-02 | 1
   30 |  -5.3928515647763457e-02 |  -5.3928515647763457e-02 | 1
