index | b_base                   | b_new                    | equal
    1 |   1.0894285434943912e+01 |   1.0894285434943912e+01 | 1
    2 |   1.0936121797113000e+01 |   1.0936121797113000e+01 | 1
    3 |   1.1157854219134951e+01 |   1.1157854219134951e+01 | 1
    4 |   1.0926662943579265e+01 |   1.0926662943579265e+01 | 1
    5 |   1.1076485571918218e+01 |   1.1076485571918218e+01 | 1
    6 |   1.0998100980956414e+01 |   1.0998100980956414e+01 | 1
    7 |   1.1020986075206688e+01 |   1.1020986075206688e+01 | 1
    8 |   1.1031749565043924e+01 |   1.1031749565043924e+01 | 1
    9 |   1.0885540486948566e+01 |   1.0885540486948566e+01 | 1
   10 |   1.0996162775454099e+01 |   1.0996162775454099e+01 | 1
   11 |   1.1289418568197423e+01 |   1.1289418568197423e+01 | 1
   12 |   1.1153599722100005e+01 |   1.1153599722100005e+01 | 1
   13 |   1.0600173520401929e+01 |   1.0600173520401929e+01 | 1
   14 |   1.0779655887760931e+01 |   1.0779655887760931e+01 | 1
   15 |   1.1135511556524827e+01 |   1.1135511556524827e+01 | 1
   16 |   1.1105189679020498e+01 |   1.1105189679020498e+01 | 1
   17 |   1.0940897858605336e+01 |   1.0940897858605336e+01 | 1
   18 |   1.0978649319492478e+01 |   1.0978649319492478e+01 | 1
   19 |   1.0860932810475921e+01 |   1.0860932810475921e+01 | 1
   20 |   1.1107495543049975e+01 |   1.1107495543049975e+01 | 1
   21 |   1.1028134983228250e+01 |   1.1028134983228250e+01 | 1
   22 |   1.1370474874572599e+01 |   1.1370474874572599e+01 | 1
   23 |   1.1157990414186648e+01 |   1.1157990414186648e+01 | 1
   24 |   1.1138694793583785e+01 |   1.1138694793583785e+01 | 1
   25 |   1.1113002722384561e+01 |   1.1113002722384561e+01 | 1
   26 |   1.1046018175306788e+01 |   1.1046018175306788e+01 | 1
   27 |   1.1630082719445879e+01 |   1.1630082719445879e+01 | 1
   28 |   1.1323503525492038e+01 |   1.1323503525492038e+01 | 1
   29 |   1.0956131620354421e+01 |   1.0956131620354421e+01 | 1
   30 |   1.1317284520853756e+01 |   1.1317284520853756e+01 | 1
   31 |   1.1432625631830042e+01 |   1.1432625631830042e+01 | 1
   32 |   6.4100190681491115e-02 |   6.4100190681491115e-02 | 1
   33 |  -2.2343737131823502e-01 |  -2.2343737131823502e-01 | 1
   34 |   1.1307351908791588e+01 |   1.1307351908791588e+01 | 1
   35 |   2.1069724512128687e-01 |   2.1069724512128687e-01 | 1
   36 |   3.8319476550863235e-01 |   3.8319476550863235e-01 | 1
   37 |   5.9852562449818802e-01 |   5.9852562449818802e-01 | 1
   38 |   1.1005637132928481e+00 |   1.1005637132928481e+00 | 1
   39 |   1.0855082334965751e+01 |   1.0855082334965751e+01 | 1
   40 |   2.7080675862680681e-01 |   2.7080675862680681e-01 | 1
