index | b_base                   | b_new                    | equal
    1 |   6.4100190681491115e-02 |   6.4100190681491115e-02 | 1
    2 |   1.4556881168880861e-02 |   1.4556881168880861e-02 | 1
    3 |   6.6213652050753011e-02 |   6.6213652050753011e-02 | 1
    4 |   3.2737677810708500e-02 |   3.2737677810708500e-02 | 1
    5 |   5.0251724767069003e-02 |   5.0251724767069003e-02 | 1
    6 |   4.5138339465417759e-02 |   4.5138339465417759e-02 | 1
    7 |   4.2733373589975122e-02 |   4.2733373589975122e-02 | 1
    8 |   7.5401945662464553e-02 |   7.5401945662464553e-02 | 1
    9 |   5.0684792309580742e-02 |   5.0684792309580742e-02 | 1
   10 |  -1.4839511144832646e-02 |  -1.4839511144832646e-02 | 1
   11 |   1.5507494802650436e-02 |   1.5507494802650436e-02 | 1
   12 |   1.3916359052870367e-01 |   1.3916359052870367e-01 | 1
   13 |   9.9060522168034473e-02 |   9.9060522168034473e-02 | 1
   14 |   1.9549066970737029e-02 |   1.9549066970737029e-02 | 1
   15 |   2.6324107573737925e-02 |   2.6324107573737925e-02 | 1
   16 |   6.3033040056389267e-02 |   6.3033040056389267e-02 | 1
   17 |   5.4597952872343120e-02 |   5.4597952872343120e-02 | 1
   18 |   8.0900220207761830e-02 |   8.0900220207761830e-02 | 1
   19 |   2.5808891376374293e-02 |   2.5808891376374293e-02 | 1
   20 |   4.3541006249283934e-02 |   4.3541006249283934e-02 | 1
   21 |  -3.2950519170067485e-02 |  -3.2950519170067485e-02 | 1
   22 |   1.4526450104543148e-02 |   1.4526450104543148e-02 | 1
   23 |   1.8837812850000822e-02 |   1.8837812850000822e-02 | 1
   24 |   2.4578381702476296e-02 |   2.4578381702476296e-02 | 1
   25 |   3.9545232820476457e-02 |   3.9545232820476457e-02 | 1
   26 |  -9.0956613602145242e-02 |  -9.0956613602145242e-02 | 1
   27 |  -2.2455364404235748e-02 |  -2.2455364404235748e-02 | 1
   28 |   5.9629248375885339e-02 |   5.9629248375885339e-02 | 1
   29 |  -2.1065806355642022e-02 |  -2.1065806355642022e-02 | 1
   30 |  -4.6837320997108356e-02 |  -4.6837320997108356e-02 | 1
