index | b_base                   | b_new                    | equal
    1 |   1.1351272595379074e+01 |   1.1351272595379074e+01 | 1
    2 |   1.1160685971662515e+01 |   1.1160685971662515e+01 | 1
    3 |   1.1936682563744734e+01 |   1.1936682563744734e+01 | 1
    4 |   1.1413204987208571e+01 |   1.1413204987208571e+01 | 1
    5 |   1.1477741105910169e+01 |   1.1477741105910169e+01 | 1
    6 |   1.0855126586931343e+01 |   1.0855126586931343e+01 | 1
    7 |   1.0983959995473352e+01 |   1.0983959995473352e+01 | 1
    8 |   1.1272223609564801e+01 |   1.1272223609564801e+01 | 1
    9 |   1.1291912706440920e+01 |   1.1291912706440920e+01 | 1
   10 |   1.0723357846305591e+01 |   1.0723357846305591e+01 | 1
   11 |   6.6867280220576371e+00 |   6.6867280220576371e+00 | 1
   12 |   1.1163931111205748e+01 |   1.1163931111205748e+01 | 1
   13 |   1.1984762110693518e+01 |   1.1984762110693518e+01 | 1
   14 |   1.0994524556020338e+01 |   1.0994524556020338e+01 | 1
   15 |   1.0670303565553198e+01 |   1.0670303565553198e+01 | 1
   16 |   1.1305969679233433e+01 |   1.1305969679233433e+01 | 1
   17 |   1.1357325487595725e+01 |   1.1357325487595725e+01 | 1
   18 |   1.1182582721159253e+01 |   1.1182582721159253e+01 | 1
   19 |   1.0278949304503358e+01 |   1.0278949304503358e+01 | 1
   20 |   1.1247481473355828e+01 |   1.1247481473355828e+01 | 1
   21 |   1.0703411722918341e+01 |   1.0703411722918341e+01 | 1
   22 |   1.0941636890854550e+01 |   1.0941636890854550e+01 | 1
   23 |   1.0783637049125822e+01 |   1.0783637049125822e+01 | 1
   24 |   1.1356579155439732e+01 |   1.1356579155439732e+01 | 1
   25 |   1.1469819352266462e+01 |   1.1469819352266462e+01 | 1
   26 |   1.1151800495235623e+01 |   1.1151800495235623e+01 | 1
   27 |   1.0363204494290812e+01 |   1.0363204494290812e+01 | 1
   28 |   1.1268794644324476e+01 |   1.1268794644324476e+01 | 1
   29 |   1.1561291826080245e+01 |   1.1561291826080245e+01 | 1
   30 |   1.1321985260256819e+01 |   1.1321985260256819e+01 | 1
   31 |   1.1277628282994726e+01 |   1.1277628282994726e+01 | 1
   32 |   8.4839695388187553e-01 |   8.4839695388187553e-01 | 1
   33 |  -2.8755691276865334e+00 |  -2.8755691276865334e+00 | 1
   34 |   1.1301351662446196e+01 |   1.1301351662446196e+01 | 1
   35 |   1.1383525445298270e+01 |   1.1383525445298270e+01 | 1
   36 |  -4.7274898289906031e-01 |  -4.7274898289906031e-01 | 1
