row,col | V_base                   | V_new                    | equal
  1,  1 |   5.8478759574858933e-03 |   5.8478759574858933e-03 | 1
  1,  2 |   4.9369657276847004e-03 |   4.9369657276847004e-03 | 1
  1,  3 |   5.1838807590955088e-03 |   5.1838807590955088e-03 | 1
  1,  4 |   4.9369657276837915e-03 |   4.9369657276837915e-03 | 1
  1,  5 |   4.9369657276647529e-03 |   4.9369657276647529e-03 | 1
  1,  6 |   4.9369657276598783e-03 |   4.9369657276598783e-03 | 1
  1,  7 |   5.3678807273283800e-03 |   5.3678807273283800e-03 | 1
  1,  8 |   4.9311546517270379e-03 |   4.9311546517270379e-03 | 1
  1,  9 |   4.9369657276970014e-03 |   4.9369657276970014e-03 | 1
  1, 10 |   4.9369657276528787e-03 |   4.9369657276528787e-03 | 1
  1, 11 |   4.9411408275079980e-03 |   4.9411408275079980e-03 | 1
  1, 12 |   4.9369657276764484e-03 |   4.9369657276764484e-03 | 1
  1, 13 |   4.9369657276382177e-03 |   4.9369657276382177e-03 | 1
  1, 14 |   4.9369657276499886e-03 |   4.9369657276499886e-03 | 1
  1, 15 |   5.8249146790670331e-03 |   5.8249146790670331e-03 | 1
  1, 16 |   5.6829797663939226e-03 |   5.6829797663939226e-03 | 1
  1, 17 |   4.9369657276537903e-03 |   4.9369657276537903e-03 | 1
  1, 18 |   4.9369657276863597e-03 |   4.9369657276863597e-03 | 1
  1, 19 |   4.9369657276326804e-03 |   4.9369657276326804e-03 | 1
  1, 20 |   4.9369657276317914e-03 |   4.9369657276317914e-03 | 1
  1, 21 |   4.9369657276506895e-03 |   4.9369657276506895e-03 | 1
  1, 22 |   4.9369657276560133e-03 |   4.9369657276560133e-03 | 1
  1, 23 |   5.6700413929527127e-03 |   5.6700413929527127e-03 | 1
  1, 24 |   4.9369657276955589e-03 |   4.9369657276955589e-03 | 1
  1, 25 |   4.9369657276580273e-03 |   4.9369657276580273e-03 | 1
  1, 26 |   4.9369657276845998e-03 |   4.9369657276845998e-03 | 1
  1, 27 |   5.4648044351711909e-03 |   5.4648044351711909e-03 | 1
  1, 28 |   4.9369657276491213e-03 |   4.9369657276491213e-03 | 1
  1, 29 |   4.9369657276916714e-03 |   4.9369657276916714e-03 | 1
  1, 30 |   5.8735763445758246e-03 |   5.8735763445758246e-03 | 1
  2,  1 |   4.9369657276847004e-03 |   4.9369657276847004e-03 | 1
  2,  2 |   4.3116861968240904e-03 |   4.3116861968240904e-03 | 1
  2,  3 |   4.4778951974415171e-03 |   4.4778951974415171e-03 | 1
