index | b_base                   | b_new                    | equal
    1 |   6.9478554387591623e-02 |   6.9478554387591623e-02 | 1
    2 |   1.6881676532326896e-02 |   1.6881676532326896e-02 | 1
    3 |   7.1453893114379802e-02 |   7.1453893114379802e-02 | 1
    4 |   3.6282321581907695e-02 |   3.6282321581907695e-02 | 1
    5 |   5.6383070477756383e-02 |   5.6383070477756383e-02 | 1
    6 |   4.8914039512199900e-02 |   4.8914039512199900e-02 | 1
    7 |   4.6938319579825992e-02 |   4.6938319579825992e-02 | 1
    8 |   8.1241957838912943e-02 |   8.1241957838912943e-02 | 1
    9 |   5.5341150806559172e-02 |   5.5341150806559172e-02 | 1
   10 |  -1.5263547155210430e-02 |  -1.5263547155210430e-02 | 1
   11 |   1.8762148049966343e-02 |   1.8762148049966343e-02 | 1
   12 |   1.4864671696983114e-01 |   1.4864671696983114e-01 | 1
   13 |   1.0706218571503184e-01 |   1.0706218571503184e-01 | 1
   14 |   2.0512004076715468e-02 |   2.0512004076715468e-02 | 1
   15 |   2.9525357301305663e-02 |   2.9525357301305663e-02 | 1
   16 |   6.8033325141466344e-02 |   6.8033325141466344e-02 | 1
   17 |   5.9432267508002026e-02 |   5.9432267508002026e-02 | 1
   18 |   8.7110843554226977e-02 |   8.7110843554226977e-02 | 1
   19 |   2.9025577813327028e-02 |   2.9025577813327028e-02 | 1
   20 |   4.8543103268503349e-02 |   4.8543103268503349e-02 | 1
   21 |  -3.4021188075792963e-02 |  -3.4021188075792963e-02 | 1
   22 |   1.6598550104130111e-02 |   1.6598550104130111e-02 | 1
   23 |   2.1416896013494571e-02 |   2.1416896013494571e-02 | 1
   24 |   2.8158054971936360e-02 |   2.8158054971936360e-02 | 1
   25 |   4.3971714538369025e-02 |   4.3971714538369025e-02 | 1
   26 |  -9.4497905885567640e-02 |  -9.4497905885567640e-02 | 1
   27 |  -2.1926195827469519e-02 |  -2.1926195827469519e-02 | 1
   28 |   6.4939016086550297e-02 |   6.4939016086550297e-02 | 1
   29 |  -2.1402221272353361e-02 |  -2.1402221272353361e-02 | 1
   30 |  -4.7846811434622313e-02 |  -4.7846811434622313e-02 | 1
