index | b_base                   | b_new                    | equal
    1 |   1.0512940153941017e+01 |   1.0512940153941017e+01 | 1
    2 |   1.0530605372078799e+01 |   1.0530605372078799e+01 | 1
    3 |   1.0750648012149426e+01 |   1.0750648012149426e+01 | 1
    4 |   1.0496282387028797e+01 |   1.0496282387028797e+01 | 1
    5 |   1.0681801533870239e+01 |   1.0681801533870239e+01 | 1
    6 |   1.0508859294089071e+01 |   1.0508859294089071e+01 | 1
    7 |   1.0305078727279408e+01 |   1.0305078727279408e+01 | 1
    8 |   1.0545530954964297e+01 |   1.0545530954964297e+01 | 1
    9 |   1.0403628205275295e+01 |   1.0403628205275295e+01 | 1
   10 |   1.0509538591602221e+01 |   1.0509538591602221e+01 | 1
   11 |   1.1153521513630672e+01 |   1.1153521513630672e+01 | 1
   12 |   1.0658070461139708e+01 |   1.0658070461139708e+01 | 1
   13 |   1.0261773888852863e+01 |   1.0261773888852863e+01 | 1
   14 |   1.0270282594184868e+01 |   1.0270282594184868e+01 | 1
   15 |   1.0455194947824760e+01 |   1.0455194947824760e+01 | 1
   16 |   1.0599370503684423e+01 |   1.0599370503684423e+01 | 1
   17 |   1.0571635791775780e+01 |   1.0571635791775780e+01 | 1
   18 |   1.0573485746954361e+01 |   1.0573485746954361e+01 | 1
   19 |   1.0513731540790914e+01 |   1.0513731540790914e+01 | 1
   20 |   1.0591697763095462e+01 |   1.0591697763095462e+01 | 1
   21 |   1.0615137048426782e+01 |   1.0615137048426782e+01 | 1
   22 |   1.0893177323753456e+01 |   1.0893177323753456e+01 | 1
   23 |   1.0721259044107875e+01 |   1.0721259044107875e+01 | 1
   24 |   1.0635403466985599e+01 |   1.0635403466985599e+01 | 1
   25 |   1.0702561838181948e+01 |   1.0702561838181948e+01 | 1
   26 |   1.0619991281547346e+01 |   1.0619991281547346e+01 | 1
   27 |   1.0905839623610623e+01 |   1.0905839623610623e+01 | 1
   28 |   1.0778923051829199e+01 |   1.0778923051829199e+01 | 1
   29 |   1.0486042048794967e+01 |   1.0486042048794967e+01 | 1
   30 |   1.0736213267443063e+01 |   1.0736213267443063e+01 | 1
   31 |   1.0866144805831661e+01 |   1.0866144805831661e+01 | 1
   32 |   5.0061134383141734e-02 |   5.0061134383141734e-02 | 1
   33 |  -3.0832575784273236e-01 |  -3.0832575784273236e-01 | 1
   34 |   1.0753350076723315e+01 |   1.0753350076723315e+01 | 1
   35 |   2.0231338150946257e-01 |   2.0231338150946257e-01 | 1
   36 |   3.4859901779040581e-01 |   3.4859901779040581e-01 | 1
   37 |   5.1409162019686794e-01 |   5.1409162019686794e-01 | 1
   38 |   9.8511736730782706e-01 |   9.8511736730782706e-01 | 1
   39 |   5.5830470856464476e-02 |   5.5830470856464476e-02 | 1
   40 |   6.8298647237959601e-05 |   6.8298647237959601e-05 | 1
   41 |   2.0870167285369730e-02 |   2.0870167285369730e-02 | 1
   42 |   2.3651049244982130e-03 |   2.3651049244982130e-03 | 1
   43 |   1.0460519301633793e+01 |   1.0460519301633793e+01 | 1
   44 |   1.3378635299660624e-01 |   1.3378635299660624e-01 | 1
