row,col | V_base                   | V_new                    | equal
  1,  1 |   2.9072279548229617e-03 |   2.9072279548229617e-03 | 1
  1,  2 |   2.3221809720275263e-03 |   2.3221809720275263e-03 | 1
  1,  3 |   2.8062372490990284e-03 |   2.8062372490990284e-03 | 1
  1,  4 |   2.3221809720370742e-03 |   2.3221809720370742e-03 | 1
  1,  5 |   2.3221809720392131e-03 |   2.3221809720392131e-03 | 1
  1,  6 |   2.3221809720596273e-03 |   2.3221809720596273e-03 | 1
  1,  7 |   3.1418361626941995e-03 |   3.1418361626941995e-03 | 1
  1,  8 |   2.6844638530832497e-03 |   2.6844638530832497e-03 | 1
  1,  9 |   2.3221809720542440e-03 |   2.3221809720542440e-03 | 1
  1, 10 |   2.3221809720768596e-03 |   2.3221809720768596e-03 | 1
  1, 11 |   2.7923621918131509e-03 |   2.7923621918131509e-03 | 1
  1, 12 |   2.3221809720664673e-03 |   2.3221809720664673e-03 | 1
  1, 13 |   2.3221809720727921e-03 |   2.3221809720727921e-03 | 1
  1, 14 |   2.3221809720274365e-03 |   2.3221809720274365e-03 | 1
  1, 15 |   3.1727281336035693e-03 |   3.1727281336035693e-03 | 1
  1, 16 |   2.6881959734331227e-03 |   2.6881959734331227e-03 | 1
  1, 17 |   2.3221809720709364e-03 |   2.3221809720709364e-03 | 1
  1, 18 |   2.3221809720517014e-03 |   2.3221809720517014e-03 | 1
  1, 19 |   2.7178316653649996e-03 |   2.7178316653649996e-03 | 1
  1, 20 |   2.3221809720567177e-03 |   2.3221809720567177e-03 | 1
  1, 21 |   2.3221809720449620e-03 |   2.3221809720449620e-03 | 1
  1, 22 |   2.3221809720803369e-03 |   2.3221809720803369e-03 | 1
  1, 23 |   2.8623546815529015e-03 |   2.8623546815529015e-03 | 1
  1, 24 |   2.3221809720449082e-03 |   2.3221809720449082e-03 | 1
  1, 25 |   2.3221809720744288e-03 |   2.3221809720744288e-03 | 1
  1, 26 |   2.3221809720551413e-03 |   2.3221809720551413e-03 | 1
  1, 27 |   2.7738591617258203e-03 |   2.7738591617258203e-03 | 1
  1, 28 |   2.3221809720637733e-03 |   2.3221809720637733e-03 | 1
