index | b_base                   | b_new                    | equal
    1 |   5.0061134383141734e-02 |   5.0061134383141734e-02 | 1
    2 |  -1.7783679374349923e-02 |  -1.7783679374349923e-02 | 1
    3 |   6.0643794760108366e-02 |   6.0643794760108366e-02 | 1
    4 |   3.4434632158837838e-03 |   3.4434632158837838e-03 | 1
    5 |   5.6766010359432004e-02 |   5.6766010359432004e-02 | 1
    6 |   1.1959680805464271e-01 |   1.1959680805464271e-01 | 1
    7 |   4.5459192728726061e-02 |   4.5459192728726061e-02 | 1
    8 |   8.9211465566555292e-02 |   8.9211465566555292e-02 | 1
    9 |   5.6556565438889352e-02 |   5.6556565438889352e-02 | 1
   10 |  -1.4199995703331009e-01 |  -1.4199995703331009e-01 | 1
   11 |   1.0760364199945652e-02 |   1.0760364199945652e-02 | 1
   12 |   1.3294880518076430e-01 |   1.3294880518076430e-01 | 1
   13 |   1.3032535216101332e-01 |   1.3032535216101332e-01 | 1
   14 |   7.3312110590510474e-02 |   7.3312110590510474e-02 | 1
   15 |   2.8859073067682716e-02 |   2.8859073067682716e-02 | 1
   16 |   3.7410399135464879e-02 |   3.7410399135464879e-02 | 1
   17 |   3.6840010303053630e-02 |   3.6840010303053630e-02 | 1
   18 |   5.5263771202689320e-02 |   5.5263771202689320e-02 | 1
   19 |   3.1224776624504590e-02 |   3.1224776624504590e-02 | 1
   20 |   2.3997841211433547e-02 |   2.3997841211433547e-02 | 1
   21 |  -6.1729137389465227e-02 |  -6.1729137389465227e-02 | 1
   22 |  -8.7223035307226332e-03 |  -8.7223035307226332e-03 | 1
   23 |   1.7749182350528192e-02 |   1.7749182350528192e-02 | 1
   24 |  -2.9574733440697193e-03 |  -2.9574733440697193e-03 | 1
   25 |   2.2501156105790194e-02 |   2.2501156105790194e-02 | 1
   26 |  -6.5633250588958247e-02 |  -6.5633250588958247e-02 | 1
   27 |  -2.6501602411649283e-02 |  -2.6501602411649283e-02 | 1
   28 |   6.3801154806619867e-02 |   6.3801154806619867e-02 | 1
   29 |  -1.3333075773493963e-02 |  -1.3333075773493963e-02 | 1
   30 |  -5.3394315814830701e-02 |  -5.3394315814830701e-02 | 1
