index | b_base                   | b_new                    | equal
    1 |   1.0894243758502213e+01 |   1.0894243758502213e+01 | 1
    2 |   1.0936028080552090e+01 |   1.0936028080552090e+01 | 1
    3 |   1.1157819951973297e+01 |   1.1157819951973297e+01 | 1
    4 |   1.0926617393089304e+01 |   1.0926617393089304e+01 | 1
    5 |   1.1076490654275926e+01 |   1.1076490654275926e+01 | 1
    6 |   1.0998033748724351e+01 |   1.0998033748724351e+01 | 1
    7 |   1.1020886512887131e+01 |   1.1020886512887131e+01 | 1
    8 |   1.1031779857692142e+01 |   1.1031779857692142e+01 | 1
    9 |   1.0884977601496789e+01 |   1.0884977601496789e+01 | 1
   10 |   1.0996107523348575e+01 |   1.0996107523348575e+01 | 1
   11 |   1.1288827307083027e+01 |   1.1288827307083027e+01 | 1
   12 |   1.1153672447737662e+01 |   1.1153672447737662e+01 | 1
   13 |   1.0600165888831217e+01 |   1.0600165888831217e+01 | 1
   14 |   1.0779577731139677e+01 |   1.0779577731139677e+01 | 1
   15 |   1.1135311658404264e+01 |   1.1135311658404264e+01 | 1
   16 |   1.1105188455913256e+01 |   1.1105188455913256e+01 | 1
   17 |   1.0941186516756158e+01 |   1.0941186516756158e+01 | 1
   18 |   1.0978591959585467e+01 |   1.0978591959585467e+01 | 1
   19 |   1.0860666784261387e+01 |   1.0860666784261387e+01 | 1
   20 |   1.1107467840367638e+01 |   1.1107467840367638e+01 | 1
   21 |   1.1028030551492824e+01 |   1.1028030551492824e+01 | 1
   22 |   1.1370333107547767e+01 |   1.1370333107547767e+01 | 1
   23 |   1.1157773010971541e+01 |   1.1157773010971541e+01 | 1
   24 |   1.1138736866243157e+01 |   1.1138736866243157e+01 | 1
   25 |   1.1112997252997452e+01 |   1.1112997252997452e+01 | 1
   26 |   1.1045955417997410e+01 |   1.1045955417997410e+01 | 1
   27 |   1.1629821802868824e+01 |   1.1629821802868824e+01 | 1
   28 |   1.1323440974247710e+01 |   1.1323440974247710e+01 | 1
   29 |   1.0956112170764483e+01 |   1.0956112170764483e+01 | 1
   30 |   1.1317266004578027e+01 |   1.1317266004578027e+01 | 1
   31 |   1.1432657351715109e+01 |   1.1432657351715109e+01 | 1
   32 |   6.3882152542399984e-02 |   6.3882152542399984e-02 | 1
   33 |  -2.2344324512180572e-01 |  -2.2344324512180572e-01 | 1
   34 |   1.1307350772742113e+01 |   1.1307350772742113e+01 | 1
   35 |   2.1053986956323700e-01 |   2.1053986956323700e-01 | 1
   36 |   3.8320410657159415e-01 |   3.8320410657159415e-01 | 1
   37 |   5.9883553548717361e-01 |   5.9883553548717361e-01 | 1
   38 |   1.1014448780927488e+00 |   1.1014448780927488e+00 | 1
   39 |   1.0855167928344647e+01 |   1.0855167928344647e+01 | 1
   40 |   2.7079393910112193e-01 |   2.7079393910112193e-01 | 1
