index | b_base                   | b_new                    | equal
    1 |   6.3882152542399984e-02 |   6.3882152542399984e-02 | 1
    2 |   1.4324257050407255e-02 |   1.4324257050407255e-02 | 1
    3 |   6.5984907087912020e-02 |   6.5984907087912020e-02 | 1
    4 |   3.2496739251385222e-02 |   3.2496739251385222e-02 | 1
    5 |   5.0027404830043989e-02 |   5.0027404830043989e-02 | 1
    6 |   4.4921109045509208e-02 |   4.4921109045509208e-02 | 1
    7 |   4.2487064732046879e-02 |   4.2487064732046879e-02 | 1
    8 |   7.5289037247539076e-02 |   7.5289037247539076e-02 | 1
    9 |   5.0457806878843325e-02 |   5.0457806878843325e-02 | 1
   10 |  -1.4948451510135685e-02 |  -1.4948451510135685e-02 | 1
   11 |   1.5250988855973806e-02 |   1.5250988855973806e-02 | 1
   12 |   1.3892829057423384e-01 |   1.3892829057423384e-01 | 1
   13 |   9.8839926315549970e-02 |   9.8839926315549970e-02 | 1
   14 |   1.9353583207626118e-02 |   1.9353583207626118e-02 | 1
   15 |   2.6084409325678327e-02 |   2.6084409325678327e-02 | 1
   16 |   6.2729534817209179e-02 |   6.2729534817209179e-02 | 1
   17 |   5.4371541286210218e-02 |   5.4371541286210218e-02 | 1
   18 |   8.0721125142180578e-02 |   8.0721125142180578e-02 | 1
   19 |   2.5575096266310861e-02 |   2.5575096266310861e-02 | 1
   20 |   4.3324821876177672e-02 |   4.3324821876177672e-02 | 1
   21 |  -3.3160372062227508e-02 |  -3.3160372062227508e-02 | 1
   22 |   1.4334745700168842e-02 |   1.4334745700168842e-02 | 1
   23 |   1.8588243652887269e-02 |   1.8588243652887269e-02 | 1
   24 |   2.4339586364687728e-02 |   2.4339586364687728e-02 | 1
   25 |   3.9319631536017793e-02 |   3.9319631536017793e-02 | 1
   26 |  -9.1141368217187990e-02 |  -9.1141368217187990e-02 | 1
   27 |  -2.2682641626978500e-02 |  -2.2682641626978500e-02 | 1
   28 |   5.9394498250023825e-02 |   5.9394498250023825e-02 | 1
   29 |  -2.1302886365455839e-02 |  -2.1302886365455839e-02 | 1
   30 |  -4.7086303428742315e-02 |  -4.7086303428742315e-02 | 1
