index | b_base                   | b_new                    | equal
    1 |   1.3817469727359088e+01 |   1.3817469727359088e+01 | 1
    2 |   1.4067242727260604e+01 |   1.4067242727260604e+01 | 1
    3 |   1.3817835011562638e+01 |   1.3817835011562638e+01 | 1
    4 |   1.4178072496065738e+01 |   1.4178072496065738e+01 | 1
    5 |   1.4073684446070825e+01 |   1.4073684446070825e+01 | 1
    6 |   1.4588231372499664e+01 |   1.4588231372499664e+01 | 1
    7 |   1.4292884703543052e+01 |   1.4292884703543052e+01 | 1
    8 |   1.5942506085975891e-01 |   1.5942506085975891e-01 | 1
    9 |  -4.0636047437610051e-01 |  -4.0636047437610051e-01 | 1
   10 |   1.4777617113223164e+01 |   1.4777617113223164e+01 | 1
   11 |   1.5528421502337414e-01 |   1.5528421502337414e-01 | 1
   12 |   3.8942119093320793e-01 |   3.8942119093320793e-01 | 1
   13 |   1.3981995731531010e+01 |   1.3981995731531010e+01 | 1
   14 |   4.9043417643470444e-01 |   4.9043417643470444e-01 | 1
