row,col | V_base                   | V_new                    | equal
  1,  1 |   7.7787111793625968e-04 |   7.7787111793625968e-04 | 1
  1,  2 |   3.6620900319124768e-06 |   3.6620900319124768e-06 | 1
  1,  3 |   3.8164653475772500e-04 |   3.8164653475772500e-04 | 1
  1,  4 |   6.4181157323215093e-04 |   6.4181157323215093e-04 | 1
  1,  5 |   4.0822129132206039e-04 |   4.0822129132206039e-04 | 1
  1,  6 |   2.0251431999436138e-04 |   2.0251431999436138e-04 | 1
  2,  1 |   3.6620900319124768e-06 |   3.6620900319124768e-06 | 1
  2,  2 |   3.7735644413028377e-03 |   3.7735644413028377e-03 | 1
  2,  3 |  -3.6231071678291494e-04 |  -3.6231071678291494e-04 | 1
  2,  4 |   4.8741139991942726e-04 |   4.8741139991942726e-04 | 1
  2,  5 |  -4.5453971205989428e-03 |  -4.5453971205989428e-03 | 1
  2,  6 |  -2.3966852171364560e-04 |  -2.3966852171364560e-04 | 1
  3,  1 |   3.8164653475772500e-04 |   3.8164653475772500e-04 | 1
  3,  2 |  -3.6231071678291494e-04 |  -3.6231071678291494e-04 | 1
  3,  3 |   1.3296444962929666e-02 |   1.3296444962929666e-02 | 1
  3,  4 |  -9.8262666573439546e-04 |  -9.8262666573439546e-04 | 1
  3,  5 |   1.3247468566267477e-03 |   1.3247468566267477e-03 | 1
  3,  6 |   3.2765758557822076e-04 |   3.2765758557822076e-04 | 1
  4,  1 |   6.4181157323215093e-04 |   6.4181157323215093e-04 | 1
  4,  2 |   4.8741139991942726e-04 |   4.8741139991942726e-04 | 1
  4,  3 |  -9.8262666573439546e-04 |  -9.8262666573439546e-04 | 1
  4,  4 |   1.5504204607708727e-03 |   1.5504204607708727e-03 | 1
  4,  5 |   7.6789038478885586e-04 |   7.6789038478885586e-04 | 1
  4,  6 |   1.7698891349993996e-04 |   1.7698891349993996e-04 | 1
  5,  1 |   4.0822129132206039e-04 |   4.0822129132206039e-04 | 1
  5,  2 |  -4.5453971205989428e-03 |  -4.5453971205989428e-03 | 1
  5,  3 |   1.3247468566267477e-03 |   1.3247468566267477e-03 | 1
  5,  4 |   7.6789038478885586e-04 |   7.6789038478885586e-04 | 1
  5,  5 |   8.4069668682744125e-03 |   8.4069668682744125e-03 | 1
  5,  6 |   7.2092248967671750e-04 |   7.2092248967671750e-04 | 1
  6,  1 |   2.0251431999436138e-04 |   2.0251431999436138e-04 | 1
  6,  2 |  -2.3966852171364560e-04 |  -2.3966852171364560e-04 | 1
  6,  3 |   3.2765758557822076e-04 |   3.2765758557822076e-04 | 1
  6,  4 |   1.7698891349993996e-04 |   1.7698891349993996e-04 | 1
  6,  5 |   7.2092248967671750e-04 |   7.2092248967671750e-04 | 1
  6,  6 |   1.0568013252741256e-03 |   1.0568013252741256e-03 | 1
