leg,estname,n_marker,n_fit,verdict
A,vv_chn_os_covs_0,109535,109535,PASS
A,vv_chn_os_covs_1,109535,109535,PASS
A,vv_chn_os_covs_2,109535,109535,PASS
A,vv_chn_os_covs_all,109535,109535,PASS
A,vv_chn_os_covs_trend,109535,109535,PASS
A,vv_chn_ts_covs_0,109535,109535,PASS
A,vv_chn_ts_covs_1,109535,109535,PASS
A,vv_chn_ts_covs_2,109535,109535,PASS
A,vv_chn_ts_covs_all,109535,109535,PASS
A,vv_chn_ts_covs_trend,109535,109535,PASS
A,vv_idn_os_covs_0,92150,92150,PASS
A,vv_idn_os_covs_1,92139,92139,PASS
A,vv_idn_os_covs_2,92139,92139,PASS
A,vv_idn_os_covs_all,92139,92139,PASS
A,vv_idn_os_covs_trend,92150,92150,PASS
A,vv_idn_ts_covs_0,92150,92150,PASS
A,vv_idn_ts_covs_1,92139,92139,PASS
A,vv_idn_ts_covs_2,92139,92139,PASS
A,vv_idn_ts_covs_all,92139,92139,PASS
A,vv_idn_ts_covs_trend,92150,92150,PASS
A,vv_tza_os_covs_0,29862,29862,PASS
A,vv_tza_os_covs_1,29862,29862,PASS
A,vv_tza_os_covs_2,29862,29862,PASS
A,vv_tza_os_covs_all,29862,29862,PASS
A,vv_tza_os_covs_trend,29862,29862,PASS
A,vv_tza_ts_covs_0,29862,29862,PASS
A,vv_tza_ts_covs_1,29862,29862,PASS
A,vv_tza_ts_covs_2,29862,29862,PASS
A,vv_tza_ts_covs_all,29862,29862,PASS
A,vv_tza_ts_covs_trend,29862,29862,PASS
B,vv_chn_os_covs_0,109535,109535,PASS
B,vv_chn_os_covs_1,109535,109535,PASS
B,vv_chn_os_covs_2,109535,109535,PASS
B,vv_chn_os_covs_all,109535,109535,PASS
B,vv_chn_os_covs_trend,109535,109535,PASS
B,vv_chn_ts_covs_0,109535,109535,PASS
B,vv_chn_ts_covs_1,109535,109535,PASS
B,vv_chn_ts_covs_2,109535,109535,PASS
B,vv_chn_ts_covs_all,109535,109535,PASS
B,vv_chn_ts_covs_trend,109535,109535,PASS
B,vv_idn_os_covs_0,92150,92150,PASS
B,vv_idn_os_covs_1,92139,92139,PASS
B,vv_idn_os_covs_2,92139,92139,PASS
B,vv_idn_os_covs_all,92139,92139,PASS
B,vv_idn_os_covs_trend,92150,92150,PASS
B,vv_idn_ts_covs_0,92150,92150,PASS
B,vv_idn_ts_covs_1,92139,92139,PASS
B,vv_idn_ts_covs_2,92139,92139,PASS
B,vv_idn_ts_covs_all,92139,92139,PASS
B,vv_idn_ts_covs_trend,92150,92150,PASS
B,vv_tza_os_covs_0,29862,29862,PASS
B,vv_tza_os_covs_1,29862,29862,PASS
B,vv_tza_os_covs_2,29862,29862,PASS
B,vv_tza_os_covs_all,29862,29862,PASS
B,vv_tza_os_covs_trend,29862,29862,PASS
B,vv_tza_ts_covs_0,29862,29862,PASS
B,vv_tza_ts_covs_1,29862,29862,PASS
B,vv_tza_ts_covs_2,29862,29862,PASS
B,vv_tza_ts_covs_all,29862,29862,PASS
B,vv_tza_ts_covs_trend,29862,29862,PASS
