estname,n_base,n_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
vv_tza_os_covs_0,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_0_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_1_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_2_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_all_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_os_covs_trend_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_0_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_1_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_2_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_all_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_a,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_d,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_g,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
vv_tza_ts_covs_trend_n,29862,29862,1,1,0.0000000000000000e+00,PASS_BITWISE
